det(History-3, A-1)
amod(History-3, Brief-2)
root(ROOT-0, History-3)

amod(Habitation-2, Early-1)
root(ROOT-0, Habitation-2)

det(history-3, The-1)
amod(history-3, inhabited-2)
nsubj(stretches-9, history-3)
prep(history-3, of-4)
det(Vegas-7, the-5)
nn(Vegas-7, Las-6)
pobj(of-4, Vegas-7)
appos(Vegas-7, Valley-8)
root(ROOT-0, stretches-9)
prep(stretches-9, to-10)
nn(b.c.-12, 23,000-11)
pobj(to-10, b.c.-12)
punct(b.c.-12, ,-13)
advmod(covered-20, when-14)
nsubjpass(covered-20, much-15)
prep(much-15, of-16)
det(area-18, the-17)
pobj(of-16, area-18)
auxpass(covered-20, was-19)
rcmod(b.c.-12, covered-20)
prep(covered-20, by-21)
det(lake-24, a-22)
amod(lake-24, prehistoric-23)
pobj(by-21, lake-24)
punct(stretches-9, .-25)

prep(lived-8, During-1)
det(period-3, this-2)
pobj(During-1, period-3)
punct(lived-8, ,-4)
det(people-7, the-5)
amod(people-7, indigenous-6)
nsubj(lived-8, people-7)
root(ROOT-0, lived-8)
prep(lived-8, in-9)
pobj(in-9, caves-10)
punct(lived-8, ,-11)
xcomp(lived-8, hunting-12)
det(mammals-14, the-13)
dobj(hunting-12, mammals-14)
nsubj(gathered-16, that-15)
rcmod(mammals-14, gathered-16)
prep(gathered-16, at-17)
det(shoreline-19, the-18)
pobj(at-17, shoreline-19)
punct(lived-8, .-20)

det(landscape-2, The-1)
nsubj(changed-6, landscape-2)
prep(landscape-2, of-3)
det(valley-5, the-4)
pobj(of-3, valley-5)
root(ROOT-0, changed-6)
advmod(changed-6, dramatically-7)
prep(changed-6, over-8)
det(centuries-12, the-9)
amod(centuries-12, next-10)
num(centuries-12, 200-11)
pobj(over-8, centuries-12)
punct(changed-6, .-13)

det(glaciers-2, The-1)
nsubj(melted-6, glaciers-2)
vmod(glaciers-2, feeding-3)
det(lake-5, the-4)
dobj(feeding-3, lake-5)
root(ROOT-0, melted-6)
advmod(melted-6, away-7)
cc(melted-6, and-8)
det(lake-10, the-9)
nsubj(evaporated-11, lake-10)
conj(melted-6, evaporated-11)
punct(melted-6, .-12)

nsubj(tell-2, Fossils-1)
root(ROOT-0, tell-2)
det(story-5, an-3)
amod(story-5, obscure-4)
dobj(tell-2, story-5)
prep(story-5, of-6)
poss(development-12, man-7)
possessive(man-7, RSQUOs-8)
amod(development-12, slow-9)
cc(slow-9, and-10)
conj(slow-9, sporadic-11)
pobj(of-6, development-12)
punct(tell-2, .-13)

prep(began-8, Around-1)
nn(b.c.-3, 3000-2)
pobj(Around-1, b.c.-3)
punct(began-8, ,-4)
amod(Indians-7, native-5)
amod(Indians-7, Archaic-6)
nsubj(began-8, Indians-7)
root(ROOT-0, began-8)
aux(develop-10, to-9)
xcomp(began-8, develop-10)
det(culture-16, a-11)
amod(culture-16, lasting-12)
nn(culture-16, hunting-13)
cc(hunting-13, and-14)
conj(hunting-13, gathering-15)
dobj(develop-10, culture-16)
punct(began-8, .-17)

prep(was-7, By-1)
det(time-3, this-2)
pobj(By-1, time-3)
punct(was-7, ,-4)
det(valley-6, the-5)
nsubj(was-7, valley-6)
root(ROOT-0, was-7)
prep(was-7, in-8)
predet(state-13, much-9)
det(state-13, the-10)
amod(state-13, same-11)
amod(state-13, geographic-12)
pobj(in-8, state-13)
mark(exists-16, as-14)
nsubj(exists-16, it-15)
dep(state-13, exists-16)
prep(exists-16, in-17)
tmod(exists-16, today-18)
punct(was-7, ,-19)
prep(was-7, with-20)
num(exception-22, one-21)
pobj(with-20, exception-22)
punct(exception-22, ?-23)
det(presence-25, the-24)
appos(exception-22, presence-25)
prep(presence-25, of-26)
amod(springs-28, artesian-27)
pobj(of-26, springs-28)
nsubj(bubbled-30, that-29)
rcmod(springs-28, bubbled-30)
prep(bubbled-30, to-31)
det(surface-33, the-32)
pobj(to-31, surface-33)
prep(bubbled-30, in-34)
amod(areas-36, several-35)
pobj(in-34, areas-36)
punct(was-7, .-37)

det(springs-2, These-1)
nsubj(fed-3, springs-2)
root(ROOT-0, fed-3)
det(network-5, a-4)
dobj(fed-3, network-5)
prep(network-5, of-6)
pobj(of-6, streams-7)
vmod(network-5, draining-8)
prep(draining-8, through-9)
det(Wash-13, the-10)
nn(Vegas-12, Las-11)
nn(Wash-13, Vegas-12)
pobj(through-9, Wash-13)
prep(draining-8, to-14)
det(River-17, the-15)
nn(River-17, Colorado-16)
pobj(to-14, River-17)
punct(fed-3, .-18)

det(areas-2, The-1)
nsubj(oases-8, areas-2)
vmod(areas-2, surrounding-3)
det(springs-5, the-4)
dobj(surrounding-3, springs-5)
cop(oases-8, were-6)
nn(oases-8, desert-7)
root(ROOT-0, oases-8)
punct(oases-8, :-9)
amod(collections-11, sprawling-10)
dep(oases-8, collections-11)
prep(collections-11, of-12)
pobj(of-12, grasses-13)
punct(grasses-13, ,-14)
conj(grasses-13, trees-15)
punct(grasses-13, ,-16)
cc(grasses-13, and-17)
conj(grasses-13, wildlife-18)
punct(oases-8, .-19)

amod(springs-2, Many-1)
nsubj(lay-3, springs-2)
root(ROOT-0, lay-3)
prep(lay-3, in-4)
pobj(in-4, areas-5)
nsubj(become-9, that-6)
aux(become-9, would-7)
advmod(become-9, eventually-8)
rcmod(areas-5, become-9)
det(center-11, the-10)
xcomp(become-9, center-11)
prep(center-11, of-12)
det(metropolis-17, the-13)
amod(metropolis-17, modern-14)
nn(Vegas-16, Las-15)
nn(metropolis-17, Vegas-16)
pobj(of-12, metropolis-17)
punct(lay-3, .-18)

prep(thrived-8, For-1)
quantmod(4000-3, about-2)
num(years-4, 4000-3)
pobj(For-1, years-4)
punct(thrived-8, ,-5)
det(Archaics-7, the-6)
nsubj(thrived-8, Archaics-7)
root(ROOT-0, thrived-8)
prep(thrived-8, in-9)
det(culture-11, a-10)
pobj(in-9, culture-11)
nsubj(included-13, that-12)
rcmod(culture-11, included-13)
amod(signs-15, many-14)
