amod(Customer-2, Dear-1)
nsubj(waiting-7, Customer-2)
punct(waiting-7, !!!-3)
nsubj(waiting-7, We-4)
aux(waiting-7, have-5)
aux(waiting-7, been-6)
root(ROOT-0, waiting-7)
mark(contact-11, for-8)
nsubj(contact-11, you-9)
aux(contact-11, to-10)
advcl(waiting-7, contact-11)
dobj(contact-11, us-12)
prep(contact-11, for-13)
poss(Package-16, your-14)
amod(Package-16, Confirmed-15)
pobj(for-13, Package-16)
nsubjpass(registered-19, that-17)
auxpass(registered-19, is-18)
rcmod(Package-16, registered-19)
prep(registered-19, with-20)
pobj(with-20, us-21)
prep(registered-19, for-22)
pcomp(for-22, shipping-23)
prep(shipping-23, to-24)
poss(location-27, your-25)
amod(location-27, residential-26)
pobj(to-24, location-27)
punct(waiting-7, .-28)

nsubj(thought-2, We-1)
root(ROOT-0, thought-2)
mark(gave-6, that-3)
det(sender-5, the-4)
nsubj(gave-6, sender-5)
ccomp(thought-2, gave-6)
iobj(gave-6, you-7)
poss(details-10, our-8)
nn(details-10, contact-9)
dobj(gave-6, details-10)
cc(gave-6, and-11)
mark(contacted-16, that-12)
nsubj(contacted-16, you-13)
aux(contacted-16, would-14)
aux(contacted-16, have-15)
conj(gave-6, contacted-16)
dobj(contacted-16, us-17)
prep(contacted-16, by-18)
pcomp(by-18, now-19)
punct(thought-2, .-20)

nsubj(let-4, we-1)
aux(let-4, would-2)
advmod(let-4, also-3)
root(ROOT-0, let-4)
nsubj(know-6, you-5)
ccomp(let-4, know-6)
mark(attached-12, that-7)
det(letter-9, a-8)
nsubjpass(attached-12, letter-9)
auxpass(attached-12, is-10)
advmod(attached-12, also-11)
ccomp(know-6, attached-12)
prep(attached-12, to-13)
poss(package-15, your-14)
pobj(to-13, package-15)
punct(let-4, .-16)

advmod(quote-6, However-1)
punct(quote-6, ,-2)
nsubj(quote-6, we-3)
aux(quote-6, can-4)
neg(quote-6, not-5)
root(ROOT-0, quote-6)
poss(content-8, its-7)
dobj(quote-6, content-8)
prep(quote-6, to-9)
pobj(to-9, you-10)
prep(quote-6, via-11)
pobj(via-11, E-mail-12)
prep(quote-6, for-13)
nn(reasons-15, privacy-14)
pobj(for-13, reasons-15)
punct(quote-6, .-16)

nsubj(understand-2, We-1)
root(ROOT-0, understand-2)
mark(Draft-13, that-3)
det(content-5, the-4)
nsubj(Draft-13, content-5)
prep(content-5, of-6)
poss(package-8, your-7)
pobj(of-6, package-8)
npadvmod(package-8, itself-9)
cop(Draft-13, is-10)
det(Draft-13, a-11)
nn(Draft-13, Bank-12)
ccomp(understand-2, Draft-13)
amod(Draft-13, worth-14)
dep(worth-14, $-15)
number(USD-17, 800,000.00-16)
num($-15, USD-17)
punct(understand-2, ,-18)
prep(ship-24, in-19)
pobj(in-19, FedEx-20)
nsubj(ship-24, we-21)
aux(ship-24, do-22)
neg(ship-24, not-23)
parataxis(understand-2, ship-24)
dobj(ship-24, money-25)
prep(ship-24, in-26)
pobj(in-26, CASH-27)
cc(in-26, or-28)
conj(in-26, in-29)
pobj(in-29, CHEQUES-30)
cc(ship-24, but-31)
conj(ship-24, in-32)
nn(Drafts-34, Bank-33)
pobj(in-32, Drafts-34)
advmod(Drafts-34, only-35)
punct(understand-2, .-36)

det(package-2, The-1)
nsubjpass(registered-4, package-2)
auxpass(registered-4, is-3)
root(ROOT-0, registered-4)
prep(registered-4, with-5)
pobj(with-5, us-6)
prep(registered-4, for-7)
pcomp(for-7, mailing-8)
prep(registered-4, by-9)
poss(colleague-11, your-10)
pobj(by-9, colleague-11)
punct(registered-4, ,-12)
cc(registered-4, and-13)
poss(colleague-15, your-14)
nsubj(explained-16, colleague-15)
conj(registered-4, explained-16)
mark(is-19, that-17)
nsubj(is-19, he-18)
ccomp(explained-16, is-19)
prep(is-19, from-20)
det(States-23, the-21)
nn(States-23, United-22)
pobj(from-20, States-23)
cc(is-19, but-24)
nsubj(is-26, he-25)
conj(is-19, is-26)
prep(is-26, in-27)
pobj(in-27, Nigeria-28)
prep(is-26, for-29)
det(Project-35, a-30)
num(month-33, three-31)
num(month-33, 3-32)
nn(Project-35, month-33)
nn(Project-35, Surveying-34)
pobj(for-29, Project-35)
punct(registered-4, .-36)

cc(working-4, for-1)
nsubj(working-4, he-2)
aux(working-4, is-3)
root(ROOT-0, working-4)
prep(working-4, with-5)
det(firm-8, a-6)
amod(firm-8, consulting-7)
pobj(with-5, firm-8)
prep(working-4, in-9)
pobj(in-9, Nigeria-10)
nn(Africa-12, West-11)
dep(Nigeria-10, Africa-12)
punct(working-4, .-13)

nsubj(sending-3, We-1)
aux(sending-3, are-2)
root(ROOT-0, sending-3)
iobj(sending-3, you-4)
det(E-mail-6, this-5)
dobj(sending-3, E-mail-6)
mark(registered-12, because-7)
poss(package-9, your-8)
nsubjpass(registered-12, package-9)
auxpass(registered-12, is-10)
auxpass(registered-12, been-11)
advcl(sending-3, registered-12)
prep(registered-12, on-13)
det(Order-16, a-14)
amod(Order-16, Special-15)
pobj(on-13, Order-16)
punct(sending-3, .-17)

dobj(have-3, What-1)
nsubj(have-3, you-2)
dep(is-8, have-3)
aux(do-5, to-4)
xcomp(have-3, do-5)
advmod(do-5, now-6)
punct(is-8, ,-7)
root(ROOT-0, is-8)
aux(contact-10, to-9)
xcomp(is-8, contact-10)
poss(Department-13, our-11)
nn(Department-13, Delivery-12)
dobj(contact-10, Department-13)
prep(contact-10, for-14)
det(dispatch-17, the-15)
amod(dispatch-17, immediate-16)
pobj(for-14, dispatch-17)
prep(dispatch-17, of-18)
poss(package-20, your-19)
pobj(of-18, package-20)
prep(dispatch-17, to-21)
poss(address-24, your-22)
amod(address-24, residential-23)
pobj(to-21, address-24)
punct(is-8, .-25)

root(ROOT-0, Note-1)
mark(take-16, that-2)
advmod(soon-4, as-3)
advmod(take-16, soon-4)
mark(confirms-9, as-5)
poss(Team-8, our-6)
nn(Team-8, Delivery-7)
nsubj(confirms-9, Team-8)
advcl(soon-4, confirms-9)
poss(information-11, your-10)
dobj(confirms-9, information-11)
punct(take-16, ,-12)
nsubj(take-16, it-13)
aux(take-16, will-14)
advmod(take-16, only-15)
ccomp(Note-1, take-16)
iobj(take-16, us-17)
num(day-20, one-18)
amod(day-20, working-19)
dobj(take-16, day-20)
num(hours-22, 24-21)
dep(day-20, hours-22)
mark(arrive-27, for-23)
poss(package-25, your-24)
nsubj(arrive-27, package-25)
aux(arrive-27, to-26)
advcl(take-16, arrive-27)
prep(arrive-27, at-28)
poss(destination-31, its-29)
amod(destination-31, designated-30)
pobj(at-28, destination-31)
punct(Note-1, .-32)

prep(paid-17, For-1)
poss(information-3, your-2)
pobj(For-1, information-3)
punct(paid-17, ,-4)
det(charges-9, the-5)
nn(charges-9, VAT-6)
cc(VAT-6, &-7)
conj(VAT-6, Shipping-8)
nsubjpass(paid-17, charges-9)
advmod(well-11, as-10)
cc(charges-9, well-11)
mwe(well-11, as-12)
amod(fees-14, processing-13)
conj(charges-9, fees-14)
aux(paid-17, have-15)
auxpass(paid-17, been-16)
root(ROOT-0, paid-17)
prep(paid-17, by-18)
poss(colleague-20, your-19)
pobj(by-18, colleague-20)
mark(registered-25, before-21)
poss(package-23, your-22)
nsubjpass(registered-25, package-23)
auxpass(registered-25, was-24)
advcl(paid-17, registered-25)
punct(paid-17, .-26)

nsubj(sending-3, We-1)
aux(sending-3, are-2)
root(ROOT-0, sending-3)
iobj(sending-3, you-4)
det(E-mail-6, this-5)
dobj(sending-3, E-mail-6)
mark(registered-12, because-7)
poss(package-9, your-8)
nsubjpass(registered-12, package-9)
auxpass(registered-12, is-10)
auxpass(registered-12, been-11)
advcl(sending-3, registered-12)
prep(registered-12, on-13)
det(Order-16, a-14)
amod(Order-16, Special-15)
pobj(on-13, Order-16)
punct(sending-3, .-17)

nsubj(help-3, This-1)
aux(help-3, will-2)
root(ROOT-0, help-3)
nsubj(avoid-5, you-4)
ccomp(help-3, avoid-5)
det(form-7, any-6)
dobj(avoid-5, form-7)
prep(form-7, of-8)
pobj(of-8, query-9)
prep(query-9, from-10)
det(Authority-13, the-11)
amod(Authority-13, Monetary-12)
pobj(from-10, Authority-13)
prep(Authority-13, of-14)
poss(country-16, your-15)
pobj(of-14, country-16)
punct(help-3, .-17)

advmod(have-5, However-1)
punct(have-5, ,-2)
nsubj(have-5, you-3)
aux(have-5, will-4)
root(ROOT-0, have-5)
aux(pay-7, to-6)
xcomp(have-5, pay-7)
det(sum-9, a-8)
dobj(pay-7, sum-9)
prep(sum-9, of-10)
pobj(of-10, $-11)
number($-11, 95-12)
dep($-11, US-13)
dep($-11, Dollars-14)
prep(pay-7, to-15)
det(Department-19, the-16)
nn(Department-19, FedEx-17)
nn(Department-19, Delivery-18)
pobj(to-15, Department-19)
prep(pay-7, for-20)
det(Fee-24, the-21)
nn(Fee-24, Security-22)
amod(Fee-24, Keeping-23)
pobj(for-20, Fee-24)
prep(Fee-24, of-25)
det(company-28, the-26)
nn(company-28, FedEx-27)
pobj(of-25, company-28)
mark(stated-30, as-29)
advcl(have-5, stated-30)
prep(stated-30, in-31)
poss(page-37, our-32)
dep(terms-34, privacy-33)
nn(page-37, terms-34)
cc(terms-34, &-35)
conj(terms-34, condition-36)
pobj(in-31, page-37)
punct(have-5, .-38)

advmod(informed-3, Also-1)
auxpass(informed-3, be-2)
root(ROOT-0, informed-3)
mark(wished-7, that-4)
poss(colleague-6, your-5)
nsubj(wished-7, colleague-6)
ccomp(informed-3, wished-7)
aux(pay-9, to-8)
xcomp(wished-7, pay-9)
prep(pay-9, for-10)
det(charges-14, the-11)
nn(charges-14, Security-12)
amod(Security-12, Keeping-13)
pobj(for-10, charges-14)
punct(wished-7, ,-15)
cc(wished-7, but-16)
nsubj(accept-20, we-17)
aux(accept-20, do-18)
neg(accept-20, not-19)
conj(wished-7, accept-20)
amod(payments-22, such-21)
dobj(accept-20, payments-22)
prep(accept-20, considering-23)
det(facts-25, the-24)
pobj(considering-23, facts-25)
mark(has-34, that-26)
det(items-28, all-27)
nsubj(has-34, items-28)
cc(items-28, &-29)
conj(items-28, packages-30)
vmod(items-28, registered-31)
prep(registered-31, with-32)
pobj(with-32, us-33)
dep(facts-25, has-34)
det(limitation-37, a-35)
nn(limitation-37, time-36)
dobj(has-34, limitation-37)
cc(has-34, and-38)
nsubj(accept-42, we-39)
aux(accept-42, can-40)
neg(accept-42, not-41)
conj(has-34, accept-42)
dobj(accept-42, payment-43)
neg(knowing-45, not-44)
xcomp(accept-42, knowing-45)
advmod(picking-50, when-46)
nsubj(picking-50, you-47)
aux(picking-50, will-48)
aux(picking-50, be-49)
ccomp(knowing-45, picking-50)
prt(picking-50, up-51)
det(package-53, the-52)
dobj(picking-50, package-53)
cc(picking-50, or-54)
advmod(respond-56, even-55)
conj(picking-50, respond-56)
prep(respond-56, to-57)
pobj(to-57, us-58)
punct(informed-3, .-59)

advmod(take-5, So-1)
