poss(name-2, My-1)
nsubj(Rindner-5, name-2)
cop(Rindner-5, is-3)
nn(Rindner-5, Bonnie-4)
root(ROOT-0, Rindner-5)
dep(Rindner-5, /-6)

cc(born-4, and-1)
nsubjpass(born-4, I-2)
auxpass(born-4, was-3)
root(ROOT-0, born-4)
prep(born-4, in-5)
nn(Antonio-7, San-6)
pobj(in-5, Antonio-7)
punct(Antonio-7, ,-8)
appos(Antonio-7, TX-9)
punct(born-4, ,-10)
dep(born-4, /-11)

cc(is-9, and-1)
det(story-3, the-2)
nsubj(is-9, story-3)
nsubj(going-6, I-4)
aux(going-6, 'm-5)
rcmod(story-3, going-6)
aux(tell-8, to-7)
xcomp(going-6, tell-8)
root(ROOT-0, is-9)
prep(is-9, about-10)
poss(mother-12, my-11)
pobj(about-10, mother-12)
punct(is-9, .-13)
dep(is-9, /-14)

discourse(background-5, Um-1)
punct(background-5, ,-2)
det(background-5, a-3)
amod(background-5, little-4)
root(ROOT-0, background-5)
dep(background-5, first-6)
punct(background-5, .-7)
dep(background-5, /-8)

dep(people-13, Her-1)
punct(people-13, ,-2)
parataxis(people-13, let-3)
nsubj(see-5, 's-4)
ccomp(let-3, see-5)
punct(people-13, ,-6)
poss(mother-8, her-7)
poss(family-10, mother-8)
possessive(mother-8, 's-9)
nsubj(people-13, family-10)
cop(people-13, were-11)
amod(people-13, wealthy-12)
root(ROOT-0, people-13)
prep(people-13, at-14)
num(time-16, one-15)
pobj(at-14, time-16)
punct(people-13, .-17)
dep(people-13, /-18)

nsubj(owned-2, They-1)
root(ROOT-0, owned-2)
nn(dealerships-4, car-3)
dobj(owned-2, dealerships-4)
cc(dealerships-4, and-5)
amod(land-7, extensive-6)
conj(dealerships-4, land-7)
punct(owned-2, .-8)
dep(owned-2, /-9)

discourse(know-6, Um-1)
punct(know-6, ,-2)
nsubj(know-6, I-3)
aux(know-6, do-4)
neg(know-6, n't-5)
root(ROOT-0, know-6)
mark(farmers-10, if-7)
nsubj(farmers-10, they-8)
cop(farmers-10, were-9)
advcl(know-6, farmers-10)
cc(farmers-10, or-11)
conj(farmers-10, not-12)
punct(know-6, ,-13)
dep(know-6, /-14)

cc(know-3, but-1)
nsubj(know-3, I-2)
root(ROOT-0, know-3)
nsubj(owners-7, they-4)
cop(owners-7, were-5)
nn(owners-7, land-6)
ccomp(know-3, owners-7)
punct(owners-7, ,-8)
discourse(owners-7, um-9)
punct(owners-7, ,-10)
amod(acres-12, many-11)
npadvmod(owners-7, acres-12)
dep(know-3, /-13)

cc(raised-8, and-1)
punct(raised-8, ,-2)
discourse(raised-8, um-3)
punct(raised-8, ,-4)
poss(grandmother-6, her-5)
nsubjpass(raised-8, grandmother-6)
auxpass(raised-8, was-7)
root(ROOT-0, raised-8)
prep(raised-8, in-9)
pobj(in-9, wealth-10)
punct(raised-8, .-11)
dep(raised-8, /-12)

discourse(came-6, Uh-1)
punct(came-6, ,-2)
advmod(came-6, then-3)
det(Depression-5, the-4)
nsubj(came-6, Depression-5)
