amod(Pants-2, Red-1)
root(ROOT-0, Pants-2)

mark(fail-11, While-1)
nsubj(fail-11, writers-2)
poss(business-4, whose-3)
dobj(is-6, business-4)
nsubj(is-6, it-5)
rcmod(writers-2, is-6)
aux(witty-9, to-7)
cop(witty-9, be-8)
xcomp(is-6, witty-9)
advmod(fail-11, often-10)
dep(authors-16, fail-11)
aux(produce-13, to-12)
xcomp(fail-11, produce-13)
punct(authors-16, ,-14)
amod(authors-16, grave-15)
root(ROOT-0, authors-16)
advmod(authors-16, occasionally-17)
cop(mirthful-19, are-18)
dep(authors-16, mirthful-19)
advmod(is-22, when-20)
nsubj(is-22, laughter-21)
advcl(mirthful-19, is-22)
advmod(is-22, farthest-23)
prep(farthest-23, from-24)
poss(minds-26, their-25)
pobj(from-24, minds-26)
punct(authors-16, .-27)

prep(gleaned-20, From-1)
det(lifetime-3, a-2)
pobj(From-1, lifetime-3)
prep(lifetime-3, of-4)
amod(reading-6, undisciplined-5)
pobj(of-4, reading-6)
mark(pencil-9, with-7)
amod(pencil-9, innocent-8)
dep(reading-6, pencil-9)
dep(pencil-9, in-10)
pobj(in-10, hand-11)
cc(pencil-9, and-12)
nn(prepense-14, malice-13)
conj(pencil-9, prepense-14)
dep(prepense-14, in-15)
pobj(in-15, mind-16)
punct(gleaned-20, ,-17)
nsubj(gleaned-20, I-18)
aux(gleaned-20, have-19)
root(ROOT-0, gleaned-20)
det(harvest-22, a-21)
dobj(gleaned-20, harvest-22)
prep(harvest-22, of-23)
dobj(denominate-29, what-24)
nsubj(pleased-27, I-25)
cop(pleased-27, am-26)
pcomp(of-23, pleased-27)
aux(denominate-29, to-28)
xcomp(pleased-27, denominate-29)
amod(Pants-31, Red-30)
nn(items-32, Pants-31)
xcomp(denominate-29, items-32)
punct(items-32, ,-33)
det(sampling-35, a-34)
nsubj(follows-38, sampling-35)
prep(sampling-35, of-36)
pobj(of-36, which-37)
rcmod(items-32, follows-38)
punct(gleaned-20, .-39)

poss(designation-2, My-1)
nsubj(derives-3, designation-2)
root(ROOT-0, derives-3)
prep(derives-3, from-4)
det(splash-6, a-5)
pobj(from-4, splash-6)
prep(splash-6, of-7)
amod(writing-9, vivid-8)
pobj(of-7, writing-9)
prep(writing-9, in-10)
nn(Thompson-12, Francis-11)
poss(Corymbus-15, Thompson-12)
possessive(Thompson-12, 's-13)
det(Corymbus-15, A-14)
pobj(in-10, Corymbus-15)
prep(Corymbus-15, for-16)
pobj(for-16, Autumn-17)
prep(proclaims-21, in-18)
pobj(in-18, which-19)
nsubj(proclaims-21, he-20)
rcmod(Corymbus-15, proclaims-21)
advmod(Panting-30, how-22)
punct(Panting-30, “-23)
poss(dragon-27, day-24)
possessive(day-24, 's-25)
amod(dragon-27, dying-26)
nsubj(Panting-30, dragon-27)
punct(Panting-30, ”-28)
aux(Panting-30, was-29)
ccomp(proclaims-21, Panting-30)
amod(pants-32, red-31)
dobj(Panting-30, pants-32)
prep(Panting-30, into-33)
det(West-35, the-34)
pobj(into-33, West-35)
punct(derives-3, .-36)

prep(share-8, In-1)
det(category-4, this-2)
nn(category-4, trousers-3)
pobj(In-1, category-4)
punct(share-8, ,-5)
nsubj(share-8, Thompson-6)
aux(share-8, must-7)
root(ROOT-0, share-8)
det(limelight-10, the-9)
dobj(share-8, limelight-10)
prep(share-8, with-11)
pobj(with-11, Coleridge-12)
prep(share-8, by-13)
pobj(by-13, virtue-14)
prep(virtue-14, of-15)
det(line-17, the-16)
pobj(of-15, line-17)
prep(line-17, in-18)
nn(Khan-20, Kubla-19)
pobj(in-18, Khan-20)
punct(line-17, :-21)
mark(breathing-31, As-22)
mark(breathing-31, if-23)
det(earth-25, this-24)
nsubj(breathing-31, earth-25)
prep(breathing-31, in-26)
amod(pants-29, fast-27)
amod(pants-29, thick-28)
pobj(in-26, pants-29)
aux(breathing-31, were-30)
rcmod(line-17, breathing-31)
punct(share-8, .-32)

advmod(Shelley-2, Even-1)
nsubj(stake-4, Shelley-2)
aux(stake-4, may-3)
root(ROOT-0, stake-4)
det(claim-6, a-5)
dobj(stake-4, claim-6)
punct(stake-4, ,-7)
mark(in-10, if-8)
advmod(in-10, only-9)
advcl(stake-4, in-10)
det(division-13, the-11)
nn(division-13, pajama-12)
pobj(in-10, division-13)
prep(division-13, of-14)
det(sector-16, this-15)
pobj(of-14, sector-16)
punct(stake-4, ,-17)
npadvmod(stake-4, thanks-18)
prep(thanks-18, to-19)
poss(description-21, his-20)
pobj(to-19, description-21)
prep(description-21, in-22)
pobj(in-22, Epipsychidion-23)
prep(description-21, of-24)
advmod(measured-33, how-25)
punct(measured-33, ...-26)
det(night-31, the-27)
amod(night-31, slow-28)
punct(night-31, ,-29)
amod(night-31, silent-30)
nsubjpass(measured-33, night-31)
auxpass(measured-33, Is-32)
pcomp(of-24, measured-33)
prep(measured-33, by-34)
det(pants-36, the-35)
pobj(by-34, pants-36)
prep(pants-36, of-37)
poss(sleep-40, their-38)
amod(sleep-40, calm-39)
pobj(of-37, sleep-40)
punct(stake-4, .-41)

mark(is-3, Since-1)
nsubj(is-3, everthing-2)
advcl(surprising-13, is-3)
aux(found-6, to-4)
auxpass(found-6, be-5)
xcomp(is-3, found-6)
prep(found-6, in-7)
pobj(in-7, Shakespeare-8)
punct(surprising-13, ,-9)
nsubj(surprising-13, it-10)
cop(surprising-13, is-11)
neg(surprising-13, not-12)
root(ROOT-0, surprising-13)
mark(contributed-23, that-14)
prep(contributed-23, on-15)
dep(two-18, at-16)
pobj(at-16, least-17)
num(occasions-19, two-18)
pobj(on-15, occasions-19)
det(Board-21, the-20)
nsubj(contributed-23, Board-21)
aux(contributed-23, has-22)
ccomp(surprising-13, contributed-23)
poss(nuggets-28, his-24)
amod(nuggets-28, own-25)
amod(Pants-27, Red-26)
nn(nuggets-28, Pants-27)
dobj(contributed-23, nuggets-28)
punct(surprising-13, .-29)

prep(commands-18, In-1)
pobj(In-1, Antony-2)
cc(Antony-2, and-3)
conj(Antony-2, Cleopatra-4)
punct(Antony-2, -LRB--5)
dep(Antony-2, Act-6)
num(Act-6, IV-7)
punct(Act-6, ,-8)
appos(Act-6, Scene-9)
num(Scene-9, VIII-10)
punct(Act-6, ,-11)
appos(Act-6, lines-12)
num(lines-12, 14-13)
nn(lines-12, et-14)
dep(lines-12, seq.-15)
punct(Antony-2, -RRB--16)
nsubj(commands-18, Antony-17)
root(ROOT-0, commands-18)
det(Scarus-21, the-19)
amod(Scarus-21, wounded-20)
dobj(commands-18, Scarus-21)
aux(leap-24, to-22)
punct(leap-24, ...-23)
vmod(commands-18, leap-24)
dobj(leap-24, thou-25)
punct(thou-25, ,-26)
appos(thou-25, attire-27)
cc(attire-27, and-28)
conj(attire-27, all-29)
punct(leap-24, ,-30)
prep(leap-24, Through-31)
pobj(Through-31, proof-32)
prep(proof-32, of-33)
pobj(of-33, harness-34)
prep(leap-24, to-35)
poss(heart-37, my-36)
pobj(to-35, heart-37)
punct(leap-24, ,-38)
cc(leap-24, and-39)
advmod(Ride-41, there-40)
conj(leap-24, Ride-41)
prep(Ride-41, on-42)
det(pants-44, the-43)
pobj(on-42, pants-44)
xcomp(Ride-41, triumphing-45)
punct(commands-18, .-46)

cc(utters-15, And-1)
prep(utters-15, in-2)
pobj(in-2, Othello-3)
punct(Othello-3, -LRB--4)
dep(Othello-3, Act-5)
num(Act-5, II-6)
punct(Act-5, ,-7)
appos(Act-5, Scene-8)
num(Scene-8, I-9)
punct(Act-5, ,-10)
appos(Act-5, line-11)
num(line-11, 80-12)
punct(Othello-3, -RRB--13)
nsubj(utters-15, Cassio-14)
root(ROOT-0, utters-15)
