advmod(Go-3, Where-1)
aux(Go-3, to-2)
root(ROOT-0, Go-3)

det(peninsula-4, The-1)
amod(peninsula-4, crowded-2)
nn(peninsula-4, Kowloon-3)
nsubj(call-13, peninsula-4)
cc(peninsula-4, and-5)
det(Territories-9, the-6)
amod(Territories-9, booming-7)
nn(Territories-9, New-8)
conj(peninsula-4, Territories-9)
prep(Territories-9, on-10)
det(mainland-12, the-11)
pobj(on-10, mainland-12)
root(ROOT-0, call-13)
prep(call-13, for-14)
det(sightseeing-17, some-15)
amod(sightseeing-17, serious-16)
pobj(for-14, sightseeing-17)
punct(call-13, ;-18)
cc(call-13, but-19)
nsubj(begin-21, we-20)
conj(call-13, begin-21)
prep(begin-21, across-22)
nn(Harbor-24, Victoria-23)
pobj(across-22, Harbor-24)
prep(begin-21, on-25)
nn(Kong-27, Hong-26)
nn(Island-28, Kong-27)
pobj(on-25, Island-28)
punct(Island-28, ,-29)
advmod(founded-35, where-30)
det(city-32, the-31)
nsubjpass(founded-35, city-32)
auxpass(founded-35, was-33)
advmod(founded-35, first-34)
rcmod(Island-28, founded-35)
cc(founded-35, and-36)
nsubj(remains-38, which-37)
conj(founded-35, remains-38)
det(center-40, the-39)
xcomp(remains-38, center-40)
prep(center-40, of-41)
pobj(of-41, government-42)
punct(government-42, ,-43)
conj(government-42, business-44)
punct(government-42, ,-45)
cc(government-42, and-46)
conj(government-42, commerce-47)
punct(call-13, .-48)

nn(Kong-2, Hong-1)
nn(Central-3, Kong-2)
root(ROOT-0, Central-3)

neg(matter-2, No-1)
dep(matches-16, matter-2)
advmod(many-4, how-3)
amod(systems-8, many-4)
nn(systems-8, tunnels-5)
cc(systems-8, and-6)
conj(systems-8, transit-7)
nsubj(speed-9, systems-8)
rcmod(matter-2, speed-9)
amod(harbor-12, cross-10)
punct(harbor-12, --11)
nn(traffic-13, harbor-12)
dobj(speed-9, traffic-13)
punct(matches-16, ,-14)
nsubj(matches-16, nothing-15)
root(ROOT-0, matches-16)
det(ride-18, the-17)
dobj(matches-16, ride-18)
prep(ride-18, on-19)
det(Ferry-22, the-20)
nn(Ferry-22, Star-21)
pobj(on-19, Ferry-22)
prep(ride-18, from-23)
pobj(from-23, Kowloon-24)
prep(ride-18, to-25)
det(District-28, the-26)
nn(District-28, Central-27)
pobj(to-25, District-28)
prep(ride-18, across-29)
nn(Harbor-31, Victoria-30)
pobj(across-29, Harbor-31)
punct(matches-16, .-32)

mark(get-7, As-1)
det(boats-6, the-2)
amod(decker-5, double-3)
punct(decker-5, --4)
nn(boats-6, decker-5)
nsubj(get-7, boats-6)
advcl(ring-15, get-7)
acomp(get-7, ready-8)
aux(leave-10, to-9)
xcomp(ready-8, leave-10)
det(pier-12, the-11)
dobj(leave-10, pier-12)
punct(ring-15, ,-13)
nsubj(ring-15, bells-14)
root(ROOT-0, ring-15)
punct(ring-15, ,-16)
det(gangplank-18, the-17)
nsubjpass(raised-20, gangplank-18)
auxpass(raised-20, is-19)
ccomp(ring-15, raised-20)
punct(ring-15, ,-21)
nsubj(man-27, deckhands-22)
prep(deckhands-22, in-23)
amod(suits-26, blue-24)
nn(suits-26, sailor-25)
pobj(in-23, suits-26)
ccomp(ring-15, man-27)
det(hawsers-29, the-28)
dobj(man-27, hawsers-29)
punct(ring-15, ,-30)
cc(ring-15, and-31)
quantmod(couple-33, a-32)
num(commuters-36, couple-33)
quantmod(couple-33, of-34)
number(couple-33, hundred-35)
nsubj(begin-37, commuters-36)
conj(ring-15, begin-37)
det(tour-43, a-38)
num(minute-41, seven-39)
punct(minute-41, --40)
nn(tour-43, minute-41)
nn(tour-43, sightseeing-42)
dobj(begin-37, tour-43)
punct(ring-15, .-44)

det(boat-8, The-1)
amod(boat-8, big-2)
dep(white-7, green-3)
punct(white-7, --4)
cc(white-7, and-5)
conj(white-7, --6)
amod(boat-8, white-7)
nsubj(weaves-9, boat-8)
root(ROOT-0, weaves-9)
poss(way-11, its-10)
dobj(weaves-9, way-11)
prep(weaves-9, through-12)
det(course-18, an-13)
advmod(changing-16, ever-14)
punct(changing-16, --15)
amod(course-18, changing-16)
nn(course-18, obstacle-17)
pobj(through-12, course-18)
prep(course-18, of-19)
preconj(large-21, both-20)
amod(craft-24, large-21)
cc(large-21, and-22)
conj(large-21, small-23)
pobj(of-19, craft-24)
punct(weaves-9, ,-25)
cc(weaves-9, and-26)
det(skyline-29, the-27)
amod(skyline-29, soaring-28)
nsubj(draws-34, skyline-29)
prep(skyline-29, of-30)
nn(Kong-32, Hong-31)
nn(Island-33, Kong-32)
pobj(of-30, Island-33)
conj(weaves-9, draws-34)
advmod(draws-34, nearer-35)
punct(weaves-9, .-36)

mark(get-3, As-1)
nsubj(get-3, you-2)
advcl(catches-17, get-3)
prt(get-3, off-4)
punct(catches-17, ,-5)
det(House-11, the-6)
num(story-9, 52-7)
punct(story-9, --8)
nn(House-11, story-9)
nn(House-11, Jardine-10)
nsubj(catches-17, House-11)
prep(House-11, with-12)
npadvmod(shaped-15, porthole-13)
punct(shaped-15, --14)
amod(windows-16, shaped-15)
pobj(with-12, windows-16)
root(ROOT-0, catches-17)
det(eye-19, the-18)
dobj(catches-17, eye-19)
punct(catches-17, .-20)

expl(are-2, There-1)
root(ROOT-0, are-2)
nsubj(are-2, restaurants-3)
cc(restaurants-3, and-4)
det(Starbuck-6, a-5)
conj(restaurants-3, Starbuck-6)
possessive(Starbuck-6, RSQUOs-7)
prep(are-2, in-8)
det(basement-10, the-9)
pobj(in-8, basement-10)
punct(are-2, ,-11)
cc(are-2, and-12)
nsubj(access-15, you-13)
aux(access-15, can-14)
conj(are-2, access-15)
det(crosswalk-19, the-16)
amod(crosswalk-19, raised-17)
nn(crosswalk-19, pedestrian-18)
dobj(access-15, crosswalk-19)
prep(access-15, from-20)
det(escalators-22, the-21)
pobj(from-20, escalators-22)
prep(access-15, on-23)
det(floor-26, the-24)
nn(floor-26, ground-25)
pobj(on-23, floor-26)
punct(are-2, .-27)

advmod(is-6, Next-1)
prep(Next-1, to-2)
det(building-5, the-3)
nn(building-5, Jardine-4)
pobj(to-2, building-5)
root(ROOT-0, is-6)
nn(Square-8, Exchange-7)
nsubj(is-6, Square-8)
punct(Square-8, ,-9)
det(complex-11, a-10)
appos(Square-8, complex-11)
prep(complex-11, with-12)
det(mall-16, a-13)
amod(mall-16, large-14)
nn(mall-16, shopping-15)
pobj(with-12, mall-16)
punct(is-6, ;-17)
advmod(behind-19, just-18)
prep(is-21, behind-19)
pobj(behind-19, it-20)
dep(is-6, is-21)
det(Office-25, the-22)
nn(Office-25, General-23)
nn(Office-25, Post-24)
nsubj(is-21, Office-25)
prep(is-21, with-26)
det(center-29, a-27)
amod(center-29, philatelic-28)
pcomp(with-26, center-29)
dep(center-29, on-30)
det(floor-33, the-31)
nn(floor-33, ground-32)
pobj(on-30, floor-33)
punct(is-6, .-34)

amod(west-2, Farther-1)
nsubj(terminal-6, west-2)
cop(terminal-6, is-3)
det(terminal-6, the-4)
nn(terminal-6, ferry-5)
root(ROOT-0, terminal-6)
prep(terminal-6, for-7)
det(islands-10, the-8)
amod(islands-10, outlying-9)
pobj(for-7, islands-10)
punct(terminal-6, .-11)

prep(find-8, On-1)
nn(Road-3, Connaught-2)
nn(Central-4, Road-3)
pobj(On-1, Central-4)
punct(find-8, ,-5)
nsubj(find-8, you-6)
aux(find-8, RSQUOll-7)
root(ROOT-0, find-8)
num(curiosities-14, one-9)
quantmod(one-9, of-10)
nn(Kong-12, Hong-11)
poss(curiosities-14, Kong-12)
possessive(Kong-12, RSQUOs-13)
xcomp(find-8, curiosities-14)
punct(curiosities-14, ,-15)
det(escalator-28, the-16)
num(m-19, 244-17)
punct(m-19, --18)
dep(ft-23, m-19)
punct(ft-23, --20)
num(ft-23, 800-21)
punct(ft-23, --22)
dep(long-25, ft-23)
punct(long-25, --24)
amod(escalator-28, long-25)
nn(escalator-28, Mid-Levels-26)
amod(escalator-28, outdoor-27)
appos(curiosities-14, escalator-28)
punct(find-8, .-29)

nsubj(ferries-2, It-1)
root(ROOT-0, ferries-2)
dobj(ferries-2, commuters-3)
prep(ferries-2, from-4)
det(complexes-8, the-5)
nn(complexes-8, Mid-Levels-6)
nn(complexes-8, apartment-7)
pobj(from-4, complexes-8)
advmod(ferries-2, downhill-9)
prep(ferries-2, from-10)
pobj(from-10, 6-11)
prep(from-10, to-12)
num(am-14, 10-13)
pobj(to-12, am-14)
punct(ferries-2, ,-15)
cc(ferries-2, and-16)
conj(ferries-2, uphill-17)
prep(uphill-17, from-18)
num(am-20, 10-19)
pobj(from-18, am-20)
prep(from-18, to-21)
pobj(to-21, midnight-22)
punct(ferries-2, .-23)

nsubj(Market-4, Nearby-1)
cop(Market-4, is-2)
nn(Market-4, Central-3)
root(ROOT-0, Market-4)
punct(market-9, ,-5)
det(market-9, the-6)
amod(market-9, wholesale-7)
nn(market-9, food-8)
dep(Market-4, market-9)
prep(market-9, of-10)
nn(Kong-12, Hong-11)
pobj(of-10, Kong-12)
punct(market-9, ,-13)
cc(market-9, and-14)
det(offices-20, the-15)
nn(Seng-17, Hang-16)
nn(offices-20, Seng-17)
nn(offices-20, building-18)
amod(offices-20, private-19)
conj(market-9, offices-20)
punct(Market-4, .-21)

advmod(east-2, Just-1)
nsubj(come-11, east-2)
prep(east-2, of-3)
det(terminal-7, the-4)
nn(Ferry-6, Star-5)
nn(terminal-7, Ferry-6)
pobj(of-3, terminal-7)
punct(come-11, ,-8)
nsubj(come-11, you-9)
aux(come-11, RSQUOll-10)
root(ROOT-0, come-11)
prep(come-11, to-12)
nn(Hall-14, City-13)
pobj(to-12, Hall-14)
punct(come-11, .-15)

neg(longer-2, No-1)
advmod(center-4, longer-2)
det(center-4, a-3)
ccomp(functions-10, center-4)
prep(center-4, of-5)
pobj(of-5, government-6)
punct(functions-10, ,-7)
nsubj(functions-10, it-8)
advmod(functions-10, now-9)
root(ROOT-0, functions-10)
prep(functions-10, as-11)
det(center-14, a-12)
amod(center-14, cultural-13)
pobj(as-11, center-14)
punct(functions-10, .-15)

root(ROOT-0, Go-1)
prep(Go-1, through-2)
det(walkway-5, the-3)
amod(walkway-5, underground-4)
pobj(through-2, walkway-5)
prep(Go-1, to-6)
nn(Square-8, Statue-7)
pobj(to-6, Square-8)
punct(Go-1, ;-9)
prep(is-17, on-10)
det(side-13, the-11)
amod(side-13, east-12)
pobj(on-10, side-13)
prep(side-13, of-14)
det(square-16, the-15)
pobj(of-14, square-16)
dep(Go-1, is-17)
det(Building-21, the-18)
nn(Council-20, Legislative-19)
nn(Building-21, Council-20)
nsubj(is-17, Building-21)
punct(Building-21, ,-22)
num(buildings-28, one-23)
quantmod(one-23, of-24)
quantmod(one-23, the-25)
quantmod(one-23, few-26)
amod(buildings-28, colonial-27)
appos(Building-21, buildings-28)
vmod(buildings-28, left-29)
prep(left-29, in-30)
nn(Kong-32, Hong-31)
pobj(in-30, Kong-32)
punct(Go-1, .-33)

advmod(great-2, So-1)
dep(is-3, great-2)
root(ROOT-0, is-3)
det(pressure-5, the-4)
nsubj(is-3, pressure-5)
prep(pressure-5, on-6)
det(land-9, the-7)
amod(land-9, available-8)
pobj(on-6, land-9)
mark(demolished-21, that-10)
nsubjpass(demolished-21, most-11)
prep(most-11, of-12)
nn(Kong-14, Hong-13)
poss(heritage-18, Kong-14)
possessive(Kong-14, RSQUOs-15)
amod(heritage-18, colonial-16)
amod(heritage-18, architectural-17)
pobj(of-12, heritage-18)
aux(demolished-21, has-19)
auxpass(demolished-21, been-20)
dep(is-3, demolished-21)
cc(demolished-21, and-22)
conj(demolished-21, replaced-23)
prep(replaced-23, by-24)
amod(skyscrapers-26, new-25)
pobj(by-24, skyscrapers-26)
punct(is-3, .-27)

prep(was-7, Despite-1)
pobj(Despite-1, protests-2)
prep(protests-2, by-3)
pobj(by-3, preservationists-4)
punct(was-7, ,-5)
expl(was-7, there-6)
root(ROOT-0, was-7)
amod(alternative-9, little-8)
nsubj(was-7, alternative-9)
punct(was-7, .-10)

nsubj(Garden-4, Nearby-1)
cop(Garden-4, is-2)
nn(Garden-4, Chater-3)
root(ROOT-0, Garden-4)
cc(Garden-4, and-5)
det(number-7, a-6)
conj(Garden-4, number-7)
prep(number-7, of-8)
amod(landmarks-11, notable-9)
amod(landmarks-11, architectural-10)
pobj(of-8, landmarks-11)
punct(Garden-4, .-12)

advmod(famous-2, Most-1)
dep(is-3, famous-2)
dep(violate-31, is-3)
det(Tower-14, the-4)
amod(Tower-14, striking-5)
num(story-8, 74-6)
punct(story-8, --7)
nn(Tower-14, story-8)
nn(Pei-10, I.M.-9)
nn(Bank-11, Pei-10)
nn(Tower-14, Bank-11)
prep(Bank-11, of-12)
pobj(of-12, China-13)
nsubj(is-3, Tower-14)
punct(Tower-14, ,-15)
dep(beloved-17, not-16)
dep(Tower-14, beloved-17)
prep(beloved-17, by-18)
det(people-20, the-19)
pobj(by-18, people-20)
prep(people-20, of-21)
nn(Kong-23, Hong-22)
pobj(of-21, Kong-23)
punct(violate-31, ?-24)
poss(prisms-27, its-25)
amod(prisms-27, triangular-26)
nsubj(violate-31, prisms-27)
cc(prisms-27, and-28)
amod(angles-30, sharp-29)
conj(prisms-27, angles-30)
root(ROOT-0, violate-31)
det(principles-33, the-32)
dobj(violate-31, principles-33)
prep(principles-33, of-34)
nn(shui-36, feng-35)
pobj(of-34, shui-36)
parataxis(violate-31, see-37)
dobj(see-37, box-38)
punct(see-37, ,-39)
dep(see-37, page-40)
num(page-40, 68-41)
cc(violate-31, and-42)
poss(masts-45, its-43)
nn(masts-45, radio-44)
nsubj(stick-46, masts-45)
conj(violate-31, stick-46)
prt(stick-46, up-47)
prep(stick-46, like-48)
det(insect-50, an-49)
poss(antennae-52, insect-50)
possessive(insect-50, RSQUOs-51)
pobj(like-48, antennae-52)
punct(violate-31, .-53)

det(Bank-7, The-1)
nn(Bank-7, rival-2)
nn(Kong-4, Hong-3)
nn(Bank-7, Kong-4)
cc(Kong-4, and-5)
conj(Kong-4, Shanghai-6)
nsubj(is-8, Bank-7)
root(ROOT-0, is-8)
prep(is-8, by-9)
pobj(by-9, architect-10)
nn(Foster-12, Norman-11)
dep(architect-10, Foster-12)
punct(is-8, ;-13)
dep(hang-24, built-14)
prep(built-14, on-15)
det(frame-19, a-16)
dep(frame-19, "-17)
nn(frame-19, coathanger-18)
pobj(on-15, frame-19)
punct(hang-24, ,-20)
dep(hang-24, "-21)
poss(floors-23, its-22)
nsubj(hang-24, floors-23)
parataxis(is-8, hang-24)
cc(hang-24, rather-25)
mwe(rather-25, than-26)
conj(hang-24, ascend-27)
punct(is-8, .-28)

mark(view-8, From-1)
prep(view-8, inside-2)
det(atrium-5, the-3)
amod(atrium-5, vast-4)
pobj(inside-2, atrium-5)
nsubj(view-8, you-6)
aux(view-8, can-7)
root(ROOT-0, view-8)
det(structure-11, the-9)
amod(structure-11, whole-10)
dobj(view-8, structure-11)
advmod(well-13, as-12)
cc(structure-11, well-13)
mwe(well-13, as-14)
det(workings-17, the-15)
amod(workings-17, mechanical-16)
conj(structure-11, workings-17)
prep(workings-17, of-18)
det(building-20, the-19)
pobj(of-18, building-20)
punct(view-8, .-21)

num(lions-3, Two-1)
amod(lions-3, bronze-2)
nsubj(carrying-5, lions-3)
punct(carrying-5, ,-4)
root(ROOT-0, carrying-5)
prt(carrying-5, out-6)
nn(shui-8, feng-7)
nsubj(guard-11, shui-8)
dep(shui-8, principles-9)
punct(guard-11, ,-10)
parataxis(carrying-5, guard-11)
poss(doors-13, its-12)
dobj(guard-11, doors-13)
punct(carrying-5, .-14)

nsubj(catch-3, You-1)
aux(catch-3, can-2)
root(ROOT-0, catch-3)
num(trams-10, one-4)
quantmod(one-4, of-5)
nn(Kong-7, Hong-6)
poss(trams-10, Kong-7)
possessive(Kong-7, RSQUOs-8)
amod(trams-10, historic-9)
dobj(catch-3, trams-10)
prep(catch-3, along-11)
nn(Voeux-13, Des-12)
nn(Road-14, Voeux-13)
pobj(along-11, Road-14)
cc(catch-3, and-15)
conj(catch-3, ride-16)
prep(ride-16, from-17)
pobj(from-17, Central-18)
prep(ride-16, to-19)
nn(Bay-21, Causeway-20)
pobj(to-19, Bay-21)
dep(catch-3, see-22)
dobj(see-22, box-23)
punct(see-22, ,-24)
dobj(see-22, page-25)
num(page-25, 66-26)
punct(catch-3, .-27)

prep(ran-11, In-1)
pobj(In-1, 1904-2)
punct(ran-11, ,-3)
det(trams-10, the-4)
amod(trams-10, narrow-5)
punct(trams-10, ,-6)
amod(decker-9, double-7)
punct(decker-9, --8)
dep(trams-10, decker-9)
nsubj(ran-11, trams-10)
