nsubj(fine-3, that-1)
cop(fine-3, 's-2)
root(ROOT-0, fine-3)
punct(fine-3, --4)
nsubj(pay-8, we-5)
aux(pay-8, ca-6)
neg(pay-8, n't-7)
parataxis(fine-3, pay-8)
dobj(pay-8, them-9)
advmod(pay-8, anyway-10)

punct(Message-3, ------1)
amod(Message-3, Original-2)
root(ROOT-0, Message-3)
punct(Message-3, ------4)

prep(Subject-25, From-1)
punct(From-1, :-2)
nn(Megan-5, Parker-3)
punct(Megan-5, ,-4)
pobj(From-1, Megan-5)
dep(Subject-25, Sent-6)
punct(Sent-6, :-7)
parataxis(Sent-6, Wednesday-8)
punct(Wednesday-8, ,-9)
appos(Wednesday-8, November-10)
num(November-10, 28-11)
punct(November-10, ,-12)
num(November-10, 2001-13)
num(AM-15, 11:38-14)
dep(Wednesday-8, AM-15)
prep(Subject-25, To-16)
punct(To-16, :-17)
nn(S-21, Ward-18)
punct(S-21, ,-19)
appos(S-21, Kim-20)
pobj(To-16, S-21)
punct(Houston-23, -LRB--22)
appos(S-21, Houston-23)
punct(Houston-23, -RRB--24)
root(ROOT-0, Subject-25)
punct(Subject-25, :-26)
prep(Subject-25, RE-27)
punct(RE-27, :-28)
pobj(RE-27, City-29)
prep(City-29, of-30)
pobj(of-30, Pasadena-31)

nsubj(check-3, I-1)
aux(check-3, 'll-2)
root(ROOT-0, check-3)
prep(check-3, with-4)
pobj(with-4, Patti-5)
advmod(today-7, later-6)
tmod(check-3, today-7)
punct(check-3, .-8)

root(ROOT-0, On-1)
pobj(On-1, payment-2)
punct(On-1, ...-3)

nsubj(having-4, We-1)
aux(having-4, are-2)
advmod(having-4, now-3)
root(ROOT-0, having-4)
aux(forecast-6, to-5)
xcomp(having-4, forecast-6)
num(days-8, five-7)
tmod(forecast-6, days-8)
advmod(days-8, out-9)
punct(having-4, .-10)

mark(know-5, If-1)
nsubj(know-5, I-2)
aux(know-5, do-3)
neg(know-5, n't-4)
advcl(pay-11, know-5)
tmod(know-5, today-6)
punct(pay-11, ,-7)
nsubj(pay-11, I-8)
aux(pay-11, can-9)
neg(pay-11, not-10)
root(ROOT-0, pay-11)
dobj(pay-11, Pasadena-12)
prep(pay-11, until-13)
amod(Thursday-15, next-14)
pobj(until-13, Thursday-15)
punct(pay-11, .-16)

root(ROOT-0, Megan-1)

punct(Message-3, ------1)
amod(Message-3, Original-2)
root(ROOT-0, Message-3)
punct(Message-3, ------4)

root(ROOT-0, Sent-1)
punct(Sent-1, :-2)
parataxis(Sent-1, Wednesday-3)
punct(Wednesday-3, ,-4)
appos(Wednesday-3, November-5)
num(November-5, 28-6)
punct(Wednesday-3, ,-7)
amod(Wednesday-3, 2001-8)
num(AM-10, 9:03-9)
dep(Wednesday-3, AM-10)

root(ROOT-0, To-1)
punct(To-1, :-2)
nn(Megan-5, Parker-3)
punct(Megan-5, ,-4)
pobj(To-1, Megan-5)

root(ROOT-0, Subject-1)
punct(Subject-1, :-2)
prep(Subject-1, RE-3)
punct(RE-3, :-4)
pobj(RE-3, City-5)
prep(City-5, of-6)
pobj(of-6, Pasadena-7)

nsubj(one-4, Patti-1)
cop(one-4, is-2)
det(one-4, the-3)
root(ROOT-0, one-4)
prep(one-4, with-5)
det(details-7, the-6)
pobj(with-5, details-7)
punct(one-4, ,-8)
nsubj(maker-14, I-9)
cop(maker-14, 'm-10)
advmod(maker-14, just-11)
det(maker-14, the-12)
nn(maker-14, deal-13)
parataxis(one-4, maker-14)
cc(maker-14, and-15)
aux(have-18, do-16)
neg(have-18, n't-17)
conj(maker-14, have-18)
dobj(have-18, access-19)
prep(access-19, to-20)
pobj(to-20, any-21)
prep(any-21, of-22)
det(systems-24, the-23)
pobj(of-22, systems-24)
punct(one-4, .-25)

nsubj(is-4, All-1)
nsubj(know-3, I-2)
rcmod(All-1, know-3)
root(ROOT-0, is-4)
det(deals-9, what-5)
dep(priced-7, fixed-6)
amod(deals-9, priced-7)
nn(deals-9, baseload-8)
dobj(have-11, deals-9)
nsubj(have-11, we-10)
ccomp(is-4, have-11)
punct(is-4, .-12)

nsubj(have-2, I-1)
root(ROOT-0, have-2)
neg(idea-4, no-3)
dobj(have-2, idea-4)
nsubj(flows-6, what-5)
ccomp(idea-4, flows-6)
punct(have-2, .-7)

nsubj(hope-2, I-1)
root(ROOT-0, hope-2)
nsubj(help-5, Patti-3)
aux(help-5, can-4)
ccomp(hope-2, help-5)
dobj(help-5, you-6)
advmod(help-5, soon-7)
punct(hope-2, .-8)

root(ROOT-0, Let-1)
nsubj(know-3, me-2)
ccomp(Let-1, know-3)
mark(hear-8, if-4)
nsubj(hear-8, you-5)
aux(hear-8, do-6)
neg(hear-8, n't-7)
advcl(know-3, hear-8)
prep(hear-8, from-9)
pobj(from-9, her-10)
tmod(hear-8, today-11)
punct(Let-1, .-12)

root(ROOT-0, Thanks-1)
punct(Thanks-1, ,-2)
dep(Thanks-1, Kim-3)

punct(Message-3, ------1)
amod(Message-3, Original-2)
root(ROOT-0, Message-3)
punct(Message-3, ------4)

prep(Subject-25, From-1)
punct(From-1, :-2)
nn(Megan-5, Parker-3)
punct(Megan-5, ,-4)
pobj(From-1, Megan-5)
dep(Subject-25, Sent-6)
punct(Sent-6, :-7)
parataxis(Sent-6, Wednesday-8)
punct(Wednesday-8, ,-9)
appos(Wednesday-8, November-10)
num(November-10, 28-11)
punct(November-10, ,-12)
num(November-10, 2001-13)
