expl(is-2, There-1)
root(ROOT-0, is-2)
det(saying-7, a-3)
advmod(quoted-6, much-4)
punct(quoted-6, --5)
amod(saying-7, quoted-6)
nsubj(is-2, saying-7)
punct(saying-7, ,-8)
vmod(saying-7, attributed-9)
prep(attributed-9, to-10)
det(epidemiologist-12, the-11)
pobj(to-10, epidemiologist-12)
nn(Rose-14, Geoffrey-13)
dep(epidemiologist-12, Rose-14)
punct(saying-7, :-15)
punct(saying-7, “-16)
det(number-19, A-17)
amod(number-19, large-18)
nsubj(generate-28, number-19)
prep(number-19, of-20)
pobj(of-20, people-21)
vmod(people-21, exposed-22)
prep(exposed-22, to-23)
det(risk-26, a-24)
amod(risk-26, small-25)
pobj(to-23, risk-26)
aux(generate-28, may-27)
dep(saying-7, generate-28)
advmod(more-30, many-29)
amod(cases-31, more-30)
dobj(generate-28, cases-31)
prep(cases-31, than-32)
det(number-35, a-33)
amod(number-35, small-34)
pobj(than-32, number-35)
vmod(number-35, exposed-36)
prep(exposed-36, to-37)
det(risk-41, a-38)
advmod(high-40, very-39)
amod(risk-41, high-40)
pobj(to-37, risk-41)
punct(is-2, .-42)
punct(is-2, ”-43)

nsubj(true-3, This-1)
cop(true-3, is-2)
root(ROOT-0, true-3)
prep(true-3, for-4)
amod(factors-8, many-5)
amod(factors-8, individual-6)
nn(factors-8, risk-7)
pobj(for-4, factors-8)
mwe(as-10, such-9)
prep(factors-8, as-10)
nn(intake-12, salt-11)
pobj(as-10, intake-12)
punct(intake-12, -LRB--13)
vmod(intake-12, linked-14)
prep(linked-14, to-15)
amod(pressure-18, high-16)
nn(pressure-18, blood-17)
pobj(to-15, pressure-18)
cc(pressure-18, and-19)
amod(disease-21, cardiovascular-20)
conj(pressure-18, disease-21)
punct(intake-12, -RRB--22)
cc(intake-12, and-23)
conj(intake-12, speeding-24)
prep(speeding-24, on-25)
det(highway-27, the-26)
pobj(on-25, highway-27)
punct(speeding-24, -LRB--28)
vmod(speeding-24, linked-29)
prep(linked-29, to-30)
pobj(to-30, injuries-31)
cc(injuries-31, and-32)
conj(injuries-31, accidents-33)
punct(speeding-24, -RRB--34)
punct(true-3, .-35)

aux(apply-3, Does-1)
nsubj(apply-3, it-2)
root(ROOT-0, apply-3)
prep(apply-3, to-4)
amod(risks-9, many-5)
amod(risks-9, other-6)
amod(risks-9, global-7)
nn(risks-9, health-8)
pobj(to-4, risks-9)
punct(apply-3, ?-10)

det(study-2, The-1)
nsubj(suggests-8, study-2)
prep(study-2, by-3)
nn(Rodgers-5, Anthony-4)
pobj(by-3, Rodgers-5)
cc(Rodgers-5, and-6)
conj(Rodgers-5, colleagues-7)
root(ROOT-0, suggests-8)
mark(does-11, that-9)
nsubj(does-11, it-10)
ccomp(suggests-8, does-11)
punct(suggests-8, .-12)

aux(develop-2, To-1)
advcl(understand-9, develop-2)
amod(policies-5, effective-3)
nn(policies-5, health-4)
dobj(develop-2, policies-5)
punct(understand-9, ,-6)
nsubj(understand-9, one-7)
aux(understand-9, must-8)
root(ROOT-0, understand-9)
det(risks-13, the-10)
amod(risks-13, existing-11)
nn(risks-13, health-12)
dobj(understand-9, risks-13)
cc(risks-13, and-14)
