discourse(feel-5, uh-1)
advmod(feel-5, how-2)
aux(feel-5, do-3)
nsubj(feel-5, you-4)
root(ROOT-0, feel-5)
prep(feel-5, about-6)
nn(control-8, gun-7)
pobj(about-6, control-8)
dep(feel-5, /-9)

discourse(say-12, uh-1)
prep(say-12, on-2)
det(scale-4, the-3)
pobj(on-2, scale-4)
nsubj(gave-6, they-5)
rcmod(scale-4, gave-6)
dep(scale-4, one-7)
prep(one-7, to-8)
pobj(to-8, ten-9)
nsubj(say-12, I-10)
aux(say-12, 'd-11)
root(ROOT-0, say-12)
nsubj(four-17, I-13)
cop(four-17, 'm-14)
advmod(four-17, probably-15)
det(four-17, a-16)
ccomp(say-12, four-17)
dep(say-12, /-18)

nsubj('m-2, I-1)
dep(one-8, 'm-2)
neg('m-2, not-3)
advmod('m-2, totally-4)
nsubj(one-8, I-5)
cop(one-8, 'm-6)
neg(one-8, not-7)
root(ROOT-0, one-8)
prep(one-8, of-9)
det(people-11, these-10)
pobj(of-9, people-11)
nsubj(believes-13, that-12)
rcmod(people-11, believes-13)
mark(able-19, that-14)
nsubj(able-19, we-15)
aux(able-19, should-16)
neg(able-19, not-17)
cop(able-19, be-18)
ccomp(believes-13, able-19)
aux(buy-21, to-20)
xcomp(able-19, buy-21)
dobj(buy-21, guns-22)
dep(one-8, /-23)

cc(think-5, but-1)
nsubj(think-5, I-2)
aux(think-5, do-3)
neg(think-5, n't-4)
root(ROOT-0, think-5)
nsubj(carrying-9, we-6)
aux(carrying-9, should-7)
aux(carrying-9, be-8)
ccomp(think-5, carrying-9)
dobj(carrying-9, Uzis-10)
advmod(carrying-9, either-11)
dep(think-5, /-12)

nsubj(know-2, you-1)
root(ROOT-0, know-2)
dobj(mean-5, what-3)
nsubj(mean-5, I-4)
ccomp(know-2, mean-5)
dep(know-2, /-6)

discourse(know-3, yeah-1)
nsubj(know-3, I-2)
root(ROOT-0, know-3)
dep(know-3, /-4)

nsubj(mean-2, I-1)
parataxis(think-6, mean-2)
nsubj(think-6, I-3)
aux(think-6, do-4)
