advmod(right-2, all-1)
dep(Amy-3, right-2)
root(ROOT-0, Amy-3)
punct(Amy-3, /-4)

advmod(doing-4, how-1)
aux(doing-4, are-2)
nsubj(doing-4, you-3)
root(ROOT-0, doing-4)
tmod(doing-4, today-5)
punct(doing-4, /-6)

root(ROOT-0, fine-1)
dep(fine-1, fine-2)
punct(fine-1, /-3)

discourse(righty-3, oh-1)
advmod(righty-3, all-2)
root(ROOT-0, righty-3)
punct(righty-3, /-4)

nsubj(think-2, i-1)
root(ROOT-0, think-2)
nsubj(know-4, we-3)
ccomp(think-2, know-4)
dobj(speak-10, what-5)
nsubj(going-8, we-6)
aux(going-8, 're-7)
ccomp(know-4, going-8)
aux(speak-10, to-9)
xcomp(going-8, speak-10)
prep(speak-10, about-11)
punct(think-2, /-12)

discourse(tell-2, um-1)
root(ROOT-0, tell-2)
dobj(tell-2, you-3)
dep(tell-2, what-4)
punct(tell-2, /-5)

nsubj(start-3, i-1)
aux(start-3, 'll-2)
root(ROOT-0, start-3)
prt(start-3, off-4)
punct(start-3, /-5)

advmod('s-2, how-1)
root(ROOT-0, 's-2)
nsubj('s-2, that-3)
punct('s-2, /-4)

root(ROOT-0, yeah-1)
punct(yeah-1, /-2)

discourse(go-3, okay-1)
nsubj(go-3, you-2)
root(ROOT-0, go-3)
advmod(go-3, ahead-4)
punct(go-3, /-5)

discourse(think-4, um-1)
nsubj(think-4, i-2)
advmod(think-4, personally-3)
root(ROOT-0, think-4)
aux(set-6, to-5)
ccomp(think-4, set-6)
det(mark-8, a-7)
dobj(set-6, mark-8)
prep(mark-8, with-9)
det(system-12, the-10)
amod(system-12, judicial-11)
pobj(with-9, system-12)
cc(talking-16, and-13)
nsubj(talking-16, we-14)
aux(talking-16, 're-15)
parataxis(set-6, talking-16)
prep(talking-16, about-17)
pobj(about-17, criminals-18)
amod(cases-20, criminal-19)
dep(criminals-18, cases-20)
mark(set-6, that-21)
nsubj(bring-24, they-22)
aux(bring-24, should-23)
dep(set-6, bring-24)
advmod(bring-24, back-25)
punct(bring-24, ---26)
dep(bring-24, um-hum-27)
punct(um-hum-27, /-28)
punct(bring-24, ---29)
dobj(bring-24, hangings-30)
prep(hangings-30, on-31)
pobj(on-31, weekends-32)
punct(bring-24, ---33)
dep(bring-24, in-34)
amod(places-36, public-35)
pobj(in-34, places-36)
punct(in-34, /-37)
punct(bring-24, ---38)
prep(bring-24, in-39)
amod(places-41, public-40)
pobj(in-39, places-41)
punct(think-4, /-42)

expl(is-2, there-1)
root(ROOT-0, is-2)
num(state-4, one-3)
nsubj(is-2, state-4)
nsubj(does-6, that-5)
rcmod(state-4, does-6)
dobj(does-6, that-7)
prep(does-6, by-8)
det(way-10, the-9)
pobj(by-8, way-10)
punct(is-2, /-11)

root(ROOT-0, yeah-1)
punct(yeah-1, /-2)

root(ROOT-0, really-1)
punct(really-1, /-2)

root(ROOT-0, what-1)
cop(what-1, is-2)
nsubj(what-1, that-3)
punct(what-1, /-4)

nsubj(want-2, i-1)
root(ROOT-0, want-2)
aux(say-4, to-3)
xcomp(want-2, say-4)
dobj(say-4, Oklahoma-5)
punct(want-2, /-6)

nsubj(saw-2, i-1)
root(ROOT-0, saw-2)
dobj(saw-2, report-3)
dep(report-3, something-4)
det(night-7, the-5)
amod(night-7, other-6)
tmod(saw-2, night-7)
prep(saw-2, about-8)
pobj(about-8, it-9)
punct(saw-2, /-10)

root(ROOT-0, hm-1)

nsubj(do-4, they-1)
aux(do-4, do-2)
neg(do-4, n't-3)
root(ROOT-0, do-4)
dobj(do-4, them-5)
advmod(often-7, real-6)
tmod(do-4, often-7)
nsubj(penalty-13, which-8)
cop(penalty-13, is-9)
advmod(penalty-13, obviously-10)
det(penalty-13, the-11)
nn(penalty-13, death-12)
dep(do-4, penalty-13)
punct(do-4, /-14)

root(ROOT-0, yeah-1)
punct(yeah-1, /-2)

root(ROOT-0, yeah-1)
punct(yeah-1, /-2)

discourse(think-4, um-1)
cc(think-4, but-2)
conj(think-4, i-3)
root(ROOT-0, think-4)
mark(quit-7, if-5)
nsubj(quit-7, we-6)
advcl(start-40, quit-7)
discourse(quit-7, uh-8)
xcomp(quit-7, building-9)
det(Mahals-12, these-10)
nn(Mahals-12, Taj-11)
dobj(building-9, Mahals-12)
prep(Mahals-12, with-13)
det(TVs-16, the-14)
nn(TVs-16, color-15)
pobj(with-13, TVs-16)
cc(TVs-16, and-17)
num(dollars-19, sixty-18)
conj(TVs-16, dollars-19)
number(thousand-21, sixty-20)
num(year-23, thousand-21)
det(year-23, a-22)
dep(TVs-16, year-23)
aux(keep-25, to-24)
vmod(year-23, keep-25)
det(inmate-27, an-26)
dobj(keep-25, inmate-27)
advmod(there-29, in-28)
advmod(keep-25, there-29)
dep(keep-25, on-30)
pobj(on-30, a-31)
dep(on-30, on-32)
pobj(on-32, a-33)
prep(keep-25, on-34)
det(sentence-37, a-35)
nn(sentence-37, life-36)
pobj(on-34, sentence-37)
nsubj(start-40, we-38)
aux(start-40, should-39)
ccomp(think-4, start-40)
xcomp(start-40, hanging-41)
dobj(hanging-41, them-42)
cc(start-40, and-43)
conj(start-40, get-44)
dobj(get-44, it-45)
advmod(with-47, over-46)
advmod(get-44, with-47)
punct(think-4, /-48)

cc(let-2, and-1)
root(ROOT-0, let-2)
nsubj(screwing-5, 's-3)
advmod(screwing-5, just-4)
dep(let-2, screwing-5)
prt(screwing-5, up-6)
det(system-8, the-7)
dobj(screwing-5, system-8)
discourse(screwing-5, uh-9)
punct(let-2, /-10)

root(ROOT-0, yeah-1)
punct(yeah-1, /-2)

discourse(unbelievable-6, well-1)
det(sentences-3, the-2)
nsubj(unbelievable-6, sentences-3)
cop(unbelievable-6, are-4)
advmod(unbelievable-6, so-5)
root(ROOT-0, unbelievable-6)
punct(unbelievable-6, /-7)

nsubj(saw-3, i-1)
advmod(saw-3, just-2)
root(ROOT-0, saw-3)
prep(saw-3, on-4)
det(news-6, the-5)
pobj(on-4, news-6)
amod(night-8, last-7)
tmod(saw-3, night-8)
mark(said-11, that-9)
nsubj(said-11, they-10)
ccomp(saw-3, said-11)
det(time-14, the-12)
amod(time-14, average-13)
nsubj(years-25, time-14)
det(murderer-17, a-15)
amod(murderer-17, sentenced-16)
nsubj(is-20, murderer-17)
nsubj(know-19, you-18)
parataxis(is-20, know-19)
rcmod(time-14, is-20)
prep(is-20, in-21)
pobj(in-21, jail-22)
cop(years-25, is-23)
num(years-25, two-24)
dep(said-11, years-25)
mark(paroled-29, before-26)
nsubjpass(paroled-29, he-27)
auxpass(paroled-29, 's-28)
advcl(years-25, paroled-29)
cc(years-25, and-30)
det(rapists-32, a-31)
nsubj(is-33, rapists-32)
conj(years-25, is-33)
discourse(is-33, like-34)
num(months-36, six-35)
dep(like-34, months-36)
cc(years-25, and-37)
det(burglar-39, a-38)
nsubj(is-40, burglar-39)
conj(years-25, is-40)
discourse(is-40, like-41)
num(months-43, two-42)
tmod(is-40, months-43)
punct(saw-3, /-44)

nsubj(pathetic-3, that-1)
cop(pathetic-3, 's-2)
root(ROOT-0, pathetic-3)
punct(pathetic-3, /-4)

nsubj(pathetic-3, that-1)
cop(pathetic-3, 's-2)
root(ROOT-0, pathetic-3)
punct(pathetic-3, /-4)

nsubj('s-2, it-1)
root(ROOT-0, 's-2)
punct('s-2, /--3)

mark(say-4, because-1)
nsubj(say-4, they-2)
advmod(say-4, just-3)
root(ROOT-0, say-4)
expl('s-6, there-5)
ccomp(say-4, 's-6)
dep('s-6, either-7)
neg(room-9, no-8)
conj('s-6, room-9)
