nn(Warner-2, Time-1)
nn(Cable-3, Warner-2)
root(ROOT-0, Cable-3)
num(Street-7, 120-4)
nn(Street-7, East-5)
amod(Street-7, 23rd-6)
dep(Cable-3, Street-7)
nn(York-9, New-8)
dep(Cable-3, York-9)
punct(Cable-3, ,-10)
dep(Cable-3, NY-11)
dep(Cable-3, 10010-12)

root(ROOT-0, Connect-1)
prep(Connect-1, to-2)
nn(Warner-4, Time-3)
nn(Cable-5, Warner-4)
pobj(to-2, Cable-5)
prep(Connect-1, with-6)
pobj(with-6, DTV-7)
prep(Connect-1, for-8)
pobj(for-8, FREE-9)
punct(Connect-1, !-10)

amod(Yorker-3, Dear-1)
nn(Yorker-3, New-2)
root(ROOT-0, Yorker-3)
punct(Yorker-3, ,-4)
dep(Yorker-3, Finally-5)
dep(Yorker-3, television-6)
nsubj(RSQUOs-8, that-7)
rcmod(television-6, RSQUOs-8)
acomp(RSQUOs-8, smart-9)
advmod(smart-9, enough-10)
prep(smart-9, for-11)
nn(Yorkers-13, New-12)
pobj(for-11, Yorkers-13)
punct(Yorker-3, !-14)

nsubj(available-12, DTV-1)
punct(DTV-1, ?-2)
amod(Television-4, Digital-3)
appos(DTV-1, Television-4)
prep(DTV-1, from-5)
nn(Warner-7, Time-6)
nn(Cable-8, Warner-7)
pobj(from-5, Cable-8)
punct(available-12, ?-9)
cop(available-12, is-10)
advmod(available-12, now-11)
root(ROOT-0, available-12)
prep(available-12, in-13)
poss(neighborhood-15, your-14)
pobj(in-13, neighborhood-15)
punct(available-12, ,-16)
cc(available-12, and-17)
nsubj(like-20, we-18)
aux(like-20, RSQUOd-19)
conj(available-12, like-20)
dobj(like-20, you-21)
aux(one-24, to-22)
cop(one-24, be-23)
vmod(like-20, one-24)
prep(one-24, of-25)
det(first-27, the-26)
pobj(of-25, first-27)
aux(experience-29, to-28)
vmod(first-27, experience-29)
dobj(experience-29, it-30)
punct(available-12, !-31)

nsubj(choice-5, DTV-1)
cop(choice-5, is-2)
det(choice-5, the-3)
amod(choice-5, ultimate-4)
root(ROOT-0, choice-5)
prep(choice-5, in-6)
nn(entertainment-8, home-7)
pobj(in-6, entertainment-8)
punct(choice-5, .-9)

prep(RSQUOs-22, From-1)
amod(picture-3, digital-2)
pobj(From-1, picture-3)
cc(picture-3, and-4)
conj(picture-3, sound-5)
prep(From-1, to-6)
amod(packages-9, new-7)
nn(packages-9, premium-8)
pobj(to-6, packages-9)
cc(packages-9, and-10)
det(guide-19, a-11)
advmod(cool-13, really-12)
amod(guide-19, cool-13)
nn(picture-18, picture-14)
punct(picture-18, --15)
amod(picture-18, in-16)
punct(picture-18, --17)
nn(guide-19, picture-18)
conj(packages-9, guide-19)
punct(RSQUOs-22, ,-20)
