amod(theft-2, Electronic-1)
nsubj(costing-12, theft-2)
prep(theft-2, by-3)
amod(spies-7, foreign-4)
cc(foreign-4, and-5)
conj(foreign-4, industrial-6)
pobj(by-3, spies-7)
cc(spies-7, and-8)
amod(employees-10, disgruntled-9)
conj(spies-7, employees-10)
aux(costing-12, is-11)
root(ROOT-0, costing-12)
nn(S.-14, U.-13)
nn(companies-15, S.-14)
iobj(costing-12, companies-15)
dobj(costing-12, billions-16)
cc(costing-12, and-17)
conj(costing-12, eroding-18)
poss(advantage-22, their-19)
amod(advantage-22, international-20)
amod(advantage-22, competitive-21)
dobj(eroding-18, advantage-22)
punct(costing-12, .-23)

nsubj(message-4, That-1)
cop(message-4, was-2)
det(message-4, the-3)
root(ROOT-0, message-4)
vmod(message-4, delivered-5)
prep(delivered-5, by-6)
nn(experts-11, government-7)
cc(government-7, and-8)
conj(government-7, private-9)
nn(experts-11, security-10)
pobj(by-6, experts-11)
prep(delivered-5, at-12)
det(conference-17, an-13)
det(day-16, all-14)
punct(day-16, --15)
nn(conference-17, day-16)
pobj(at-12, conference-17)
prep(conference-17, on-18)
amod(espionage-21, corporate-19)
amod(espionage-21, electronic-20)
pobj(on-18, espionage-21)
punct(message-4, .-22)

punct(said-23, ``-1)
dep(friendly-5, Hostile-2)
cc(friendly-5, and-3)
advmod(friendly-5, even-4)
amod(nations-6, friendly-5)
nsubj(steal-8, nations-6)
advmod(steal-8, routinely-7)
ccomp(said-23, steal-8)
dobj(steal-8, information-9)
prep(steal-8, from-10)
nn(S.-12, U.-11)
nn(companies-13, S.-12)
pobj(from-10, companies-13)
cc(steal-8, and-14)
conj(steal-8, share-15)
dobj(share-15, it-16)
prep(share-15, with-17)
poss(companies-20, their-18)
amod(companies-20, own-19)
pobj(with-17, companies-20)
punct(said-23, ,-21)
punct(said-23, ''-22)
root(ROOT-0, said-23)
nn(Matchett-26, Noel-24)
nn(Matchett-26, D.-25)
nsubj(said-23, Matchett-26)
punct(Matchett-26, ,-27)
det(staffer-30, a-28)
amod(staffer-30, former-29)
appos(Matchett-26, staffer-30)
prep(staffer-30, at-31)
det(Agency-36, the-32)
amod(Agency-36, federal-33)
nn(Agency-36, National-34)
nn(Agency-36, Security-35)
pobj(at-31, Agency-36)
cc(staffer-30, and-37)
advmod(president-39, now-38)
conj(staffer-30, president-39)
prep(president-39, of-40)
nn(Inc.-43, Information-41)
nn(Inc.-43, Security-42)
pobj(of-40, Inc.-43)
punct(Inc.-43, ,-44)
nn(Spring-46, Silver-45)
appos(Inc.-43, Spring-46)
punct(Spring-46, ,-47)
appos(Spring-46, Md-48)
punct(said-23, .-49)

nsubj(be-5, It-1)
punct(be-5, ``-2)
aux(be-5, may-3)
advmod(be-5, well-4)
ccomp(said-37, be-5)
punct(be-5, ''-6)
mark(threat-18, that-7)
nsubj(threat-18, theft-8)
prep(theft-8, of-9)
nn(data-11, business-10)
pobj(of-9, data-11)
cop(threat-18, is-12)
punct(threat-18, ``-13)
advmod(serious-15, as-14)
amod(threat-18, serious-15)
det(threat-18, a-16)
amod(threat-18, strategic-17)
ccomp(be-5, threat-18)
prep(threat-18, to-19)
amod(security-21, national-20)
pobj(to-19, security-21)
punct(threat-18, ''-22)
mark(threat-27, as-23)
nsubj(threat-27, it-24)
cop(threat-27, is-25)
det(threat-27, a-26)
dep(threat-18, threat-27)
prep(threat-27, to-28)
det(survival-30, the-29)
pobj(to-28, survival-30)
prep(survival-30, of-31)
amod(firms-35, victimized-32)
nn(S.-34, U.-33)
nn(firms-35, S.-34)
pobj(of-31, firms-35)
punct(said-37, ,-36)
root(ROOT-0, said-37)
nn(Cleave-40, Michelle-38)
nn(Cleave-40, Van-39)
nsubj(said-37, Cleave-40)
punct(Cleave-40, ,-41)
det(House-44, the-42)
nn(House-44, White-43)
poss(director-47, House-44)
possessive(House-44, 's-45)
amod(director-47, assistant-46)
appos(Cleave-40, director-47)
prep(director-47, for-48)
nn(Affairs-51, National-49)
nn(Affairs-51, Security-50)
pobj(for-48, Affairs-51)
punct(said-37, .-52)

det(conference-2, The-1)
nsubjpass(sponsored-5, conference-2)
auxpass(sponsored-5, was-3)
advmod(sponsored-5, jointly-4)
root(ROOT-0, sponsored-5)
prep(sponsored-5, by-6)
det(School-13, the-7)
nn(York-9, New-8)
nn(Institute-10, York-9)
nn(School-13, Institute-10)
prep(Institute-10, of-11)
pobj(of-11, Technology-12)
pobj(by-6, School-13)
prep(School-13, of-14)
pobj(of-14, Management-15)
cc(School-13, and-16)
det(Association-23, the-17)
nn(Association-23, Armed-18)
nn(Association-23, Forces-19)
nn(Association-23, Communications-20)
cc(Communications-20, and-21)
conj(Communications-20, Electronics-22)
conj(School-13, Association-23)
punct(Association-23, ,-24)
det(group-31, a-25)
amod(group-31, joint-26)
nn(government-29, industry-27)
