nn(2000-4, December-1)
num(December-1, 7-2)
punct(2000-4, ,-3)
root(ROOT-0, 2000-4)

amod(Name-2, First-1)
root(ROOT-0, Name-2)
amod(Name-4, Last-3)
dep(Name-2, Name-4)
nn(Number-6, Street-5)
dep(Name-2, Number-6)
nn(Name-8, Street-7)
dep(Name-2, Name-8)
punct(Name-2, ,-9)
nn(Name-11, City-10)
dep(Name-2, Name-11)
punct(Name-2, ,-12)
nn(Name-14, State-13)
dep(Name-2, Name-14)
punct(Name-2, ,-15)
nn(Code-17, Zip-16)
dep(Name-2, Code-17)

amod(Friend-2, Dear-1)
nsubj(know-13, Friend-2)
punct(know-13, ,-3)
prep(know-13, As-4)
det(member-6, a-5)
pobj(As-4, member-6)
prep(member-6, of-7)
nn(Fund-10, World-8)
nn(Fund-10, Wildlife-9)
pobj(of-7, Fund-10)
punct(know-13, ,-11)
nsubj(know-13, you-12)
root(ROOT-0, know-13)
mark(essential-18, that-14)
poss(efforts-16, our-15)
nsubj(essential-18, efforts-16)
cop(essential-18, are-17)
ccomp(know-13, essential-18)
prep(essential-18, to-19)
pcomp(to-19, preserving-20)
det(diversity-27, the-21)
amod(diversity-27, astonishing-22)
punct(astonishing-22, ,-23)
advmod(threatened-26, yet-24)
advmod(threatened-26, desperately-25)
dep(astonishing-22, threatened-26)
dobj(preserving-20, diversity-27)
prep(diversity-27, of-28)
pobj(of-28, life-29)
advmod(preserving-20, here-30)
prep(here-30, on-31)
pobj(on-31, Earth-32)
punct(know-13, .-33)

nsubj(RSQUOm-2, I-1)
root(ROOT-0, RSQUOm-2)
advmod(RSQUOm-2, also-3)
dep(RSQUOm-2, hoping-4)
nsubj(know-6, you-5)
ccomp(hoping-4, know-6)
mark(play-9, that-7)
nsubj(play-9, you-8)
ccomp(know-6, play-9)
det(role-12, a-10)
amod(role-12, vital-11)
dobj(play-9, role-12)
prep(role-12, in-13)
pcomp(in-13, achieving-14)
poss(goals-17, our-15)
nn(goals-17, conservation-16)
dobj(achieving-14, goals-17)
prep(goals-17, around-18)
det(globe-20, the-19)
pobj(around-18, globe-20)
punct(RSQUOm-2, .-21)

nsubj(RSQUOs-2, That-1)
root(ROOT-0, RSQUOs-2)
advmod(want-5, why-3)
nsubj(want-5, I-4)
advcl(RSQUOs-2, want-5)
aux(extend-7, to-6)
xcomp(want-5, extend-7)
poss(appreciation-9, my-8)
dobj(extend-7, appreciation-9)
prep(appreciation-9, for-10)
poss(contribution-14, your-11)
amod(contribution-14, last-12)
nn(contribution-14, membership-13)
pobj(for-10, contribution-14)
prep(contribution-14, of-15)
pobj(of-15, $-16)
num($-16, 500-17)
punct(RSQUOs-2, .-18)

dep(RSQUOm-4, And-1)
advmod(RSQUOm-4, why-2)
nsubj(RSQUOm-4, I-3)
root(ROOT-0, RSQUOm-4)
xcomp(RSQUOm-4, writing-5)
dobj(writing-5, you-6)
tmod(writing-5, today-7)
aux(ask-9, to-8)
vmod(writing-5, ask-9)
dobj(ask-9, you-10)
aux(renew-12, to-11)
xcomp(ask-9, renew-12)
poss(support-14, your-13)
dobj(renew-12, support-14)
prep(renew-12, for-15)
det(year-18, the-16)
amod(year-18, pivotal-17)
pobj(for-15, year-18)
advmod(year-18, ahead-19)
punct(RSQUOm-4, .-20)

prep(want-5, In-1)
pobj(In-1, fact-2)
punct(want-5, ,-3)
nsubj(want-5, I-4)
root(ROOT-0, want-5)
aux(urge-7, to-6)
xcomp(want-5, urge-7)
dobj(urge-7, you-8)
aux(strengthen-10, to-9)
xcomp(urge-7, strengthen-10)
poss(dedication-12, your-11)
dobj(strengthen-10, dedication-12)
prep(dedication-12, to-13)
pcomp(to-13, saving-14)
dobj(saving-14, life-15)
prep(life-15, on-16)
pobj(on-16, Earth-17)
punct(strengthen-10, ?-18)
prep(strengthen-10, by-19)
pcomp(by-19, sending-20)
det(gift-24, a-21)
amod(gift-24, generous-22)
nn(gift-24, leadership-23)
dobj(sending-20, gift-24)
prep(gift-24, of-25)
pobj(of-25, $-26)
num($-26, 750-27)
cc(sending-20, and-28)
conj(sending-20, becoming-29)
det(member-31, a-30)
xcomp(becoming-29, member-31)
prep(member-31, of-32)
nn(Fund-35, World-33)
nn(Fund-35, Wildlife-34)
poss(Society-40, Fund-35)
possessive(Fund-35, s-36)
amod(Society-40, prestigious-37)
nn(Planet-39, Living-38)
nn(Society-40, Planet-39)
pobj(of-32, Society-40)
punct(want-5, .-41)

prep(move-8, With-1)
poss(commitment-4, your-2)
amod(commitment-4, increased-3)
pobj(With-1, commitment-4)
punct(move-8, ,-5)
nsubj(move-8, we-6)
aux(move-8, can-7)
root(ROOT-0, move-8)
advmod(move-8, forward-9)
aux(thwart-11, to-10)
xcomp(move-8, thwart-11)
det(threats-15, the-12)
advmod(serious-14, most-13)
amod(threats-15, serious-14)
dobj(thwart-11, threats-15)
prep(threats-15, to-16)
amod(ecosystems-18, endangered-17)
pobj(to-16, ecosystems-18)
punct(move-8, .-19)

advmod(all-2, After-1)
advmod(begins-5, all-2)
punct(begins-5, ,-3)
nsubj(begins-5, conservation-4)
root(ROOT-0, begins-5)
prep(begins-5, with-6)
pcomp(with-6, saving-7)
det(places-12, those-8)
amod(risk-11, at-9)
punct(risk-11, --10)
nn(places-12, risk-11)
dobj(saving-7, places-12)
punct(places-12, -?-13)
poss(mangroves-23, our-14)
dep(mangroves-23, forests-15)
cc(forests-15, and-16)
conj(forests-15, deserts-17)
punct(mangroves-23, ,-18)
dep(mangroves-23, wetlands-19)
cc(wetlands-19, and-20)
conj(wetlands-19, oceans-21)
punct(mangroves-23, ,-22)
appos(places-12, mangroves-23)
cc(mangroves-23, and-24)
amod(reefs-26, coral-25)
conj(mangroves-23, reefs-26)
punct(places-12, ?-27)
nsubj(provide-29, that-28)
rcmod(places-12, provide-29)
det(lifeline-31, a-30)
dobj(provide-29, lifeline-31)
prep(provide-29, for-32)
amod(animals-34, precious-33)
pobj(for-32, animals-34)
cc(animals-34, and-35)
conj(animals-34, plants-36)
punct(begins-5, .-37)

prep(RSQUOve-6, To-1)
det(end-3, this-2)
pobj(To-1, end-3)
punct(RSQUOve-6, ,-4)
nsubj(RSQUOve-6, we-5)
root(ROOT-0, RSQUOve-6)
dep(RSQUOve-6, designated-7)
det(ecoregions-10, some-8)
num(ecoregions-10, 200-9)
dobj(designated-7, ecoregions-10)
punct(ecoregions-10, ,-11)
appos(ecoregions-10, those-12)
prep(those-12, with-13)
det(habitats-19, the-14)
advmod(outstanding-16, most-15)
amod(habitats-19, outstanding-16)
cc(outstanding-16, and-17)
conj(outstanding-16, diverse-18)
pobj(with-13, habitats-19)
punct(designated-7, ,-20)
prep(designated-7, as-21)
poss(200-24, our-22)
amod(200-24, Global-23)
pobj(as-21, 200-24)
punct(RSQUOve-6, .-25)

nsubj(RSQUOre-2, We-1)
root(ROOT-0, RSQUOre-2)
advmod(RSQUOre-2, now-3)
dep(RSQUOre-2, creating-4)
nn(projects-6, model-5)
dobj(creating-4, projects-6)
prep(creating-4, in-7)
num(areas-14, 25-8)
quantmod(25-8, of-9)
det(areas-14, these-10)
amod(priority-13, high-11)
punct(priority-13, --12)
nn(areas-14, priority-13)
pobj(in-7, areas-14)
punct(creating-4, ---15)
prep(creating-4, in-16)
pobj(in-16, order-17)
aux(balance-19, to-18)
vmod(order-17, balance-19)
dobj(balance-19, conservation-20)
prep(balance-19, with-21)
poss(need-24, people-22)
possessive(people-22, RSQUOs-23)
pobj(with-21, need-24)
aux(use-26, to-25)
vmod(need-24, use-26)
amod(resources-28, natural-27)
dobj(use-26, resources-28)
aux(sustain-30, to-29)
vmod(use-26, sustain-30)
poss(livelihoods-32, their-31)
