nsubj(people-12, Some-1)
prep(Some-1, of-2)
det(critics-5, the-3)
amod(critics-5, strongest-4)
pobj(of-2, critics-5)
prep(critics-5, of-6)
poss(system-9, our-7)
nn(system-9, welfare-8)
pobj(of-6, system-9)
cop(people-12, are-10)
det(people-12, the-11)
root(ROOT-0, people-12)
nsubj(become-15, who-13)
aux(become-15, have-14)
rcmod(people-12, become-15)
acomp(become-15, dependent-16)
prep(dependent-16, on-17)
pobj(on-17, it-18)
punct(people-12, .-19)

poss(complaint-2, Their-1)
root(ROOT-0, complaint-2)
punct(complaint-2, :-3)
det(system-5, the-4)
nsubj(discourages-6, system-5)
dep(complaint-2, discourages-6)
dobj(discourages-6, working-7)
mark(provides-10, because-8)
nsubj(provides-10, unemployment-9)
advcl(discourages-6, provides-10)
dobj(provides-10, benefits-11)
dobj(include-18, that-12)
amod(jobs-15, many-13)
nn(jobs-15, entry-level-14)
nsubj(include-18, jobs-15)
aux(include-18, do-16)
neg(include-18, n't-17)
rcmod(benefits-11, include-18)
punct(complaint-2, .-19)

nsubj('s-2, That-1)
root(ROOT-0, 's-2)
advmod(come-9, where-3)
nsubj(come-9, you-4)
punct(you-4, ---5)
cc(you-4, and-6)
conj(you-4, Goodwill-7)
punct(Goodwill-7, ---8)
advcl('s-2, come-9)
prt(come-9, in-10)
punct('s-2, .-11)

nsubj(help-2, We-1)
root(ROOT-0, help-2)
nsubj(train-4, people-3)
ccomp(help-2, train-4)
prep(train-4, for-5)
cc(train-4, and-6)
conj(train-4, find-7)
dobj(train-4, jobs-8)
nsubj(make-10, that-9)
rcmod(jobs-8, make-10)
nsubj(get-16, it-11)
dep(get-16, possible-12)
mark(get-16, for-13)
nsubj(get-16, them-14)
aux(get-16, to-15)
xcomp(make-10, get-16)
prt(get-16, off-17)
prep(get-16, of-18)
pobj(of-18, welfare-19)
punct(help-2, .-20)

amod(year-2, Last-1)
tmod(placed-5, year-2)
punct(placed-5, ,-3)
nsubj(placed-5, Goodwill-4)
root(ROOT-0, placed-5)
num(people-7, 511-6)
dobj(placed-5, people-7)
prep(placed-5, in-8)
pobj(in-8, jobs-9)
punct(placed-5, ,-10)
quantmod(double-13, more-11)
quantmod(double-13, than-12)
num(number-15, double-13)
det(number-15, the-14)
dobj(placed-5, number-15)
nsubj(placed-17, we-16)
rcmod(number-15, placed-17)
prep(placed-17, in-18)
pobj(in-18, 1993-19)
punct(placed-5, .-20)

mark(gathering-8, While-1)
det(debate-3, the-2)
nsubj(gathering-8, debate-3)
prep(debate-3, on-4)
nn(reform-6, welfare-5)
pobj(on-4, reform-6)
aux(gathering-8, is-7)
advcl(floundering-21, gathering-8)
prep(gathering-8, like-9)
det(storm-11, a-10)
pobj(like-9, storm-11)
prep(storm-11, at-12)
pobj(at-12, sea-13)
punct(floundering-21, ,-14)
det(people-16, the-15)
nsubj(floundering-21, people-16)
nsubj(need-18, who-17)
rcmod(people-16, need-18)
dobj(need-18, jobs-19)
aux(floundering-21, are-20)
root(ROOT-0, floundering-21)
punct(floundering-21, .-22)

nsubj(need-2, We-1)
root(ROOT-0, need-2)
poss(support-4, your-3)
dobj(need-2, support-4)
aux(continue-6, to-5)
vmod(need-2, continue-6)
xcomp(continue-6, getting-7)
dobj(getting-7, people-8)
prt(getting-7, off-9)
prep(getting-7, of-10)
amod(assistance-12, public-11)
pobj(of-10, assistance-12)
punct(need-2, .-13)

nsubj(answer-5, Welfare-1)
cop(answer-5, is-2)
neg(answer-5, not-3)
det(answer-5, the-4)
root(ROOT-0, answer-5)
punct(answer-5, .-6)

cc(solution-7, And-1)
nn(reform-3, welfare-2)
nsubj(solution-7, reform-3)
cop(solution-7, is-4)
det(solution-7, an-5)
amod(solution-7, uncertain-6)
root(ROOT-0, solution-7)
prep(solution-7, with-8)
det(date-12, an-9)
amod(date-12, unknown-10)
nn(date-12, starting-11)
pobj(with-8, date-12)
punct(solution-7, .-13)

nsubj(works-2, Goodwill-1)
root(ROOT-0, works-2)
punct(works-2, .-3)

advmod(now-2, Right-1)
root(ROOT-0, now-2)
punct(now-2, .-3)

discourse(give-2, Please-1)
root(ROOT-0, give-2)
det(gift-5, the-3)
amod(gift-5, largest-4)
dobj(give-2, gift-5)
nsubj(can-7, you-6)
rcmod(gift-5, can-7)
prep(give-2, to-8)
pobj(to-8, Goodwill-9)
tmod(give-2, today-10)
punct(give-2, .-11)

dep(Dustman-4, Sincerely-1)
punct(Dustman-4, ,-2)
nn(Dustman-4, Jack-3)
root(ROOT-0, Dustman-4)
appos(Dustman-4, Chairman-5)

