nummod(put, 3)
punct(3, .)
aux(put, Does)
nsubj(put, it)
root(ROOT, put)
det(label, the)
obj(put, label)
case(American, of)
compound(American, un)
punct(American, -)
nmod(label, American)
cc(subversive, or)
conj(American, subversive)
case(everyone, on)
obl(put, everyone)
case(whom, with)
nmod(everyone, whom)
nsubj(disagrees, it)
acl:relcl(everyone, disagrees)
advmod(disagrees, politically)
punct(put, ?)
punct(4, ? )
nummod(attempt, 4)
punct(4, .)
aux(attempt, Does)
nsubj(attempt, it)
parataxis(put, attempt)
mark(rewrite, to)
xcomp(attempt, rewrite)
amod(history, modern)
obj(rewrite, history)
mark(blaming, by)
advcl(rewrite, blaming)
amod(statesmen, American)
obj(blaming, statesmen)
case(wars, for)
nmod(statesmen, wars)
punct(Communism, ,)
conj(wars, Communism)
punct(depression, ,)
conj(wars, depression)
punct(troubles, ,)
cc(troubles, and)
amod(troubles, other)
conj(wars, troubles)
case(world, of)
det(world, the)
nmod(troubles, world)
punct(troubles, ?)
punct(employ, ?)
nummod(employ, 5)
punct(5, .)
aux(employ, Does)
nsubj(employ, it)
parataxis(put, employ)
amod(tactics, crude)
compound(tactics, pressure)
obj(employ, tactics)
case(means, with)
amod(means, such)
nmod(tactics, means)
case(calls, as)
amod(calls, anonymous)
compound(calls, telephone)
nmod(means, calls)
cc(campaigns, and)
compound(writing, letter)
compound(campaigns, writing)
conj(calls, campaigns)
punct(seem, ?)
punct(6, ? )
nummod(seem, 6)
punct(6, .)
aux(seem, Do)
nmod:poss(spokesmen, its)
nsubj(seem, spokesmen)
parataxis(employ, seem)
advmod(interested, more)
xcomp(seem, interested)
case(amount, in)
det(amount, the)
obl(interested, amount)
case(money, of)
nmod(amount, money)
nsubj(collect, they)
acl:relcl(money, collect)
case(principles, than)
case(principles, in)
det(principles, the)
obl(collect, principles)
nsubj(purport, they)
acl:relcl(principles, purport)
mark(advocate, to)
xcomp(purport, advocate)
punct(put, ?)
punct(put, ?)
case(instances, In)
det(instances, some)
obl(added, instances)
det(question, a)
amod(question, seventh)
nsubj:pass(added, question)
aux(added, can)
aux:pass(added, be)
root(ROOT, added)
punct(added, :)
nummod(show, 7)
punct(7, .)
aux(show, Does)
det(organization, the)
nsubj(show, organization)
ccomp(added, show)
det(affinity, an)
obj(show, affinity)
case(government, for)
det(government, a)
amod(government, foreign)
nmod(affinity, government)
punct(party, ,)
amod(party, political)
conj(government, party)
cc(personality, or)
conj(government, personality)
case(opposition, in)
nmod(government, opposition)
cc(preference, or)
conj(opposition, preference)
case(system, to)
det(system, the)
amod(system, American)
nmod(preference, system)
punct(added, ?)
punct(added, ?)
mark(asks, If)
det(joiner, the)
aux(asks, would)
punct(joiner, -)
aux(asks, be)
nsubj(asks, joiner)
advcl(likely, asks)
det(questions, these)
obj(asks, questions)
nsubj(likely, he)
cop(likely, is)
advmod(likely, not)
root(ROOT, likely)
mark(duped, to)
aux:pass(duped, be)
xcomp(likely, duped)
case(extremists, by)
obl(duped, extremists)
nsubj(seeking, who)
aux(seeking, are)
acl:relcl(extremists, seeking)
mark(capitalize, to)
xcomp(seeking, capitalize)
case(confusions, on)
det(confusions, the)
obl(capitalize, confusions)
cc(apprehensions, and)
det(apprehensions, the)
amod(apprehensions, patriotic)
