nsubj(break, he)
aux(break, could)
advmod(break, not)
root(ROOT, break)
advmod(break, in)
case(man, on)
det(man, a)
amod(man, armed)
obl(break, man)
punct(break, .)
nsubj(have, he)
aux(have, would)
root(ROOT, have)
mark(climb, to)
xcomp(have, climb)
advmod(climb, back)
advmod(climb, down)
case(street, to)
det(street, the)
obl(climb, street)
cc(signal, and)
conj(climb, signal)
det(cop, a)
obj(signal, cop)
punct(have, .)
cop(time, be)
nmod:poss(time, there)
root(ROOT, time)
punct(time, ?)
punct(time, ?)
nmod:poss(thought, he)
nsubj:pass(scatter, thought)
aux:pass(scatter, be)
root(ROOT, scatter)
case(report, by)
det(report, the)
amod(report, sharp)
obl(scatter, report)
case(rifle, of)
det(rifle, a)
nmod(report, rifle)
case(side, from)
det(side, the)
amod(side, other)
obl(scatter, side)
case(door, of)
det(door, the)
nmod(side, door)
punct(scatter, .)
nsubj(push, Hoag)
root(ROOT, push)
xcomp(push, open)
det(door, the)
obj(open, door)
punct(push, :)
case(end, at)
det(end, the)
amod(end, far)
obl(silhouet, end)
case(room, of)
det(room, the)
amod(room, long)
amod(room, dark)
nmod(end, room)
nsubj:pass(silhouet, Muller)
aux:pass(silhouet, be)
advmod(silhouet, faintly)
parataxis(push, silhouet)
case(window, against)
det(window, the)
obl(silhouet, window)
punct(raise, ,)
det(rifle, the)
nsubj(raise, rifle)
advmod(raise, still)
parataxis(push, raise)
punct(raise, ;)
punct(push, ;)
nsubj(stand, he)
parataxis(push, stand)
case(foot, with)
nmod:poss(foot, he)
obl(stand, foot)
advmod(stand, apart)
case(table, on)
det(table, a)
compound(table, kitchen)
obl(stand, table)
nsubj(drag, he)
aux(drag, have)
acl:relcl(table, drag)
case(sill, to)
det(sill, the)
obl(drag, sill)
punct(push, .)
nsubj(turn, he)
root(ROOT, turn)
nmod:poss(head, he)
obj(turn, head)
case(source, to)
det(source, the)
obl(turn, source)
case(disturbance, of)
det(disturbance, the)
nmod(source, disturbance)
cc(back, and)
advmod(back, instantly)
conj(turn, back)
case(window, to)
det(window, the)
obl(back, window)
cc(sight, and)
nmod:poss(sight, he)
compound(sight, rifle)
conj(window, sight)
punct(turn, ,)
advcl(turn, dismiss)
obj(dismiss, Hoag)
case(moment, for)
det(moment, the)
obl(dismiss, moment)
case(contempt, with)
det(contempt, the)
amod(contempt, same)
nmod(moment, contempt)
nsubj(show, he)
aux(show, have)
acl:relcl(contempt, show)
case(encounter, in)
nmod:poss(encounter, they)
obl(show, encounter)
case(apartment, at)
nmod:poss(apartment, Hoag)
case(Hoag, 's)
nmod(encounter, apartment)
punct(turn, .)
nsubj(stretch, Hoag)
root(ROOT, stretch)
nmod:poss(hand, he)
amod(hand, left)
obj(stretch, hand)
case(wall, to)
det(wall, the)
obl(stretch, wall)
cc(fumble, and)
conj(stretch, fumble)
