nsubjpass(expected-7, Confidence-1)
prep(Confidence-1, in-2)
det(pound-4, the-3)
pobj(in-2, pound-4)
auxpass(expected-7, is-5)
advmod(expected-7, widely-6)
root(ROOT-0, expected-7)
aux(take-9, to-8)
xcomp(expected-7, take-9)
det(dive-12, another-10)
amod(dive-12, sharp-11)
dobj(take-9, dive-12)
mark(fail-24, if-13)
nn(figures-15, trade-14)
nsubj(fail-24, figures-15)
prep(figures-15, for-16)
dep(for-16, September-17)
punct(figures-15, ,-18)
dep(tomorrow-22, due-19)
prep(tomorrow-22, for-20)
dep(for-20, release-21)
amod(figures-15, tomorrow-22)
punct(figures-15, ,-23)
advcl(take-9, fail-24)
aux(show-26, to-25)
xcomp(fail-24, show-26)
det(improvement-29, a-27)
amod(improvement-29, substantial-28)
dobj(show-26, improvement-29)
prep(improvement-29, from-30)
poss(deficits-36, July-31)
cc(July-31, and-32)
conj(July-31, August-33)
possessive(July-31, 's-34)
amod(deficits-36, near-record-35)
pobj(from-30, deficits-36)
punct(expected-7, .-37)

dep(Lawson-6, Chancellor-1)
prep(Chancellor-1, of-2)
det(Exchequer-4, the-3)
pobj(of-2, Exchequer-4)
nn(Lawson-6, Nigel-5)
poss(commitment-9, Lawson-6)
possessive(Lawson-6, 's-7)
amod(commitment-9, restated-8)
nsubj(helped-16, commitment-9)
prep(commitment-9, to-10)
det(policy-14, a-11)
amod(policy-14, firm-12)
amod(policy-14, monetary-13)
pobj(to-10, policy-14)
aux(helped-16, has-15)
root(ROOT-0, helped-16)
aux(prevent-18, to-17)
xcomp(helped-16, prevent-18)
det(freefall-20, a-19)
dobj(prevent-18, freefall-20)
prep(freefall-20, in-21)
dep(in-21, sterling-22)
prep(prevent-18, over-23)
det(week-26, the-24)
amod(week-26, past-25)
pobj(over-23, week-26)
punct(helped-16, .-27)

cc(reckon-3, But-1)
dep(reckon-3, analysts-2)
root(ROOT-0, reckon-3)
amod(support-5, underlying-4)
nsubjpass(eroded-10, support-5)
prep(support-5, for-6)
dep(for-6, sterling-7)
aux(eroded-10, has-8)
auxpass(eroded-10, been-9)
ccomp(reckon-3, eroded-10)
prep(eroded-10, by-11)
det(chancellor-13, the-12)
poss(failure-15, chancellor-13)
possessive(chancellor-13, 's-14)
pobj(by-11, failure-15)
aux(announce-17, to-16)
vmod(failure-15, announce-17)
det(measures-21, any-18)
amod(measures-21, new-19)
nn(measures-21, policy-20)
dobj(announce-17, measures-21)
prep(announce-17, in-22)
poss(speech-26, his-23)
nn(speech-26, Mansion-24)
nn(speech-26, House-25)
pobj(in-22, speech-26)
amod(Thursday-28, last-27)
tmod(announce-17, Thursday-28)
punct(reckon-3, .-29)

dep(increased-3, This-1)
aux(increased-3, has-2)
ccomp(say-35, increased-3)
det(risk-5, the-4)
dobj(increased-3, risk-5)
prep(risk-5, of-6)
det(government-8, the-7)
nsubj(forced-10, government-8)
dep(forced-10, being-9)
pcomp(of-6, forced-10)
aux(increase-12, to-11)
xcomp(forced-10, increase-12)
nn(rates-14, base-13)
dobj(increase-12, rates-14)
prep(increase-12, to-15)
num(%-17, 16-16)
pobj(to-15, %-17)
prep(increase-12, from-18)
poss(level-23, their-19)
amod(level-23, current-20)
number(%-22, 15-21)
amod(level-23, %-22)
pobj(from-18, level-23)
aux(defend-25, to-24)
vmod(increase-12, defend-25)
det(pound-27, the-26)
dobj(defend-25, pound-27)
punct(say-35, ,-28)
nsubj(say-35, economists-29)
cc(economists-29, and-30)
amod(analysts-34, foreign-31)
nn(analysts-34, exchange-32)
nn(analysts-34, market-33)
conj(economists-29, analysts-34)
root(ROOT-0, say-35)
punct(say-35, .-36)

punct(said-20, ``-1)
det(risks-3, The-2)
nsubj(are-11, risks-3)
prep(risks-3, for-4)
dep(for-4, sterling-5)
prep(risks-3, of-6)
det(figure-10, a-7)
amod(figure-10, bad-8)
nn(figure-10, trade-9)
pobj(of-6, figure-10)
ccomp(said-20, are-11)
advmod(heavily-13, very-12)
advmod(are-11, heavily-13)
prep(are-11, on-14)
det(side-17, the-15)
amod(side-17, down-16)
pobj(on-14, side-17)
punct(said-20, ,-18)
punct(said-20, ''-19)
root(ROOT-0, said-20)
nn(Dillow-22, Chris-21)
nsubj(said-20, Dillow-22)
punct(Dillow-22, ,-23)
amod(economist-26, senior-24)
nn(economist-26, U.K.-25)
appos(Dillow-22, economist-26)
prep(economist-26, at-27)
nn(Institute-30, Nomura-28)
nn(Institute-30, Research-29)
pobj(at-27, Institute-30)
punct(said-20, .-31)

punct(noted-20, ``-1)
mark(is-4, If-2)
dep(is-4, there-3)
advcl(lot-15, is-4)
det(number-8, another-5)
amod(number-8, bad-6)
nn(number-8, trade-7)
dep(is-4, number-8)
punct(lot-15, ,-9)
dep(lot-15, there-10)
aux(lot-15, could-11)
cop(lot-15, be-12)
det(lot-15, an-13)
amod(lot-15, awful-14)
ccomp(noted-20, lot-15)
prep(lot-15, of-16)
dep(of-16, pressure-17)
punct(noted-20, ,-18)
punct(noted-20, ''-19)
root(ROOT-0, noted-20)
nn(Briscoe-22, Simon-21)
nsubj(noted-20, Briscoe-22)
punct(Briscoe-22, ,-23)
nn(economist-25, U.K.-24)
appos(Briscoe-22, economist-25)
prep(economist-25, for-26)
nn(Montagu-28, Midland-27)
pobj(for-26, Montagu-28)
punct(Montagu-28, ,-29)
det(unit-31, a-30)
appos(Montagu-28, unit-31)
prep(unit-31, of-32)
nn(PLC-35, Midland-33)
nn(PLC-35, Bank-34)
pobj(of-32, PLC-35)
punct(noted-20, .-36)

nsubj(range-6, Forecasts-1)
prep(Forecasts-1, for-2)
det(figures-5, the-3)
nn(figures-5, trade-4)
pobj(for-2, figures-5)
root(ROOT-0, range-6)
advmod(range-6, widely-7)
punct(range-6, ,-8)
cc(range-6, but-9)
amod(economists-11, few-10)
nsubj(expect-12, economists-11)
conj(range-6, expect-12)
det(data-14, the-13)
dobj(expect-12, data-14)
aux(show-16, to-15)
xcomp(expect-12, show-16)
det(improvement-20, a-17)
advmod(marked-19, very-18)
amod(improvement-20, marked-19)
dobj(show-16, improvement-20)
prep(improvement-20, from-21)
det(deficit-31, the-22)
number(billion-25, #-23)
number(billion-25, 2-24)
amod(deficit-31, billion-25)
punct($-27, -LRB--26)
dep(billion-25, $-27)
number(billion-29, 3.2-28)
num($-27, billion-29)
punct($-27, -RRB--30)
pobj(from-21, deficit-31)
prep(deficit-31, in-32)
det(account-35, the-33)
amod(account-35, current-34)
pobj(in-32, account-35)
vmod(deficit-31, reported-36)
prep(reported-36, for-37)
dep(for-37, August-38)
punct(range-6, .-39)

det(deficit-3, The-1)
