dep(want-3, Consumers-1)
aux(want-3, may-2)
root(ROOT-0, want-3)
aux(move-5, to-4)
xcomp(want-3, move-5)
poss(telephones-7, their-6)
dobj(move-5, telephones-7)
det(little-9, a-8)
npadvmod(closer-10, little-9)
advmod(move-5, closer-10)
prep(closer-10, to-11)
det(set-14, the-12)
nn(set-14, TV-13)
pobj(to-11, set-14)
punct(want-3, .-15)

nn(jocks-2, Couch-potato-1)
nsubj(vote-13, jocks-2)
vmod(jocks-2, watching-3)
poss(Football-9, ABC-4)
possessive(ABC-4, 's-5)
punct(Football-9, ``-6)
nn(Football-9, Monday-7)
nn(Football-9, Night-8)
dobj(watching-3, Football-9)
punct(Football-9, ''-10)
aux(vote-13, can-11)
advmod(vote-13, now-12)
root(ROOT-0, vote-13)
prep(vote-13, during-14)
dep(during-14, halftime-15)
prep(vote-13, for-16)
det(play-19, the-17)
amod(play-19, greatest-18)
pobj(for-16, play-19)
prep(play-19, in-20)
num(years-22, 20-21)
pobj(in-20, years-22)
prep(play-19, from-23)
pcomp(from-23, among-24)
num(replays-29, four-25)
cc(four-25, or-26)
conj(four-25, five-27)
amod(replays-29, filmed-28)
pobj(among-24, replays-29)
punct(vote-13, .-30)

num(weeks-2, Two-1)
npadvmod(ago-3, weeks-2)
advmod(started-12, ago-3)
punct(started-12, ,-4)
nsubj(started-12, viewers-5)
prep(viewers-5, of-6)
amod(segments-11, several-7)
nn(segments-11, NBC-8)
amod(segments-11, daytime-9)
nn(segments-11, consumer-10)
pobj(of-6, segments-11)
root(ROOT-0, started-12)
xcomp(started-12, calling-13)
det(number-16, a-14)
num(number-16, 900-15)
dobj(calling-13, number-16)
prep(calling-13, for-17)
pobj(for-17, advice-18)
prep(advice-18, on-19)
amod(issues-22, various-20)
nn(issues-22, life-style-21)
pobj(on-19, issues-22)
punct(started-12, .-23)

cc(records-13, And-1)
det(show-8, the-2)
amod(show-8, new-3)
amod(show-8, syndicated-4)
punct(show-8, ``-5)
nn(show-8, reality-6)
punct(show-8, ''-7)
nsubj(records-13, show-8)
punct(show-8, ``-9)
nn(Copy-11, Hard-10)
dep(show-8, Copy-11)
punct(show-8, ''-12)
root(ROOT-0, records-13)
poss(opinions-16, viewers-14)
possessive(viewers-14, '-15)
dobj(records-13, opinions-16)
prep(records-13, for-17)
amod(airing-19, possible-18)
pobj(for-17, airing-19)
prep(airing-19, on-20)
det(day-23, the-21)
amod(day-23, next-22)
poss(show-25, day-23)
possessive(day-23, 's-24)
pobj(on-20, show-25)
punct(records-13, .-26)

amod(technology-3, Interactive-1)
nn(technology-3, telephone-2)
nsubj(taken-5, technology-3)
aux(taken-5, has-4)
root(ROOT-0, taken-5)
det(leap-8, a-6)
amod(leap-8, new-7)
dobj(taken-5, leap-8)
prep(leap-8, in-9)
dep(in-9, sophistication-10)
punct(taken-5, ,-11)
cc(taken-5, and-12)
nn(programmers-14, television-13)
nsubj(racing-16, programmers-14)
aux(racing-16, are-15)
conj(taken-5, racing-16)
aux(exploit-18, to-17)
