amod(members-2, Influential-1)
nsubj(introduced-10, members-2)
prep(members-2, of-3)
det(Ways-6, the-4)
nn(Ways-6, House-5)
pobj(of-3, Ways-6)
cc(Ways-6, and-7)
nn(Committee-9, Means-8)
conj(Ways-6, Committee-9)
root(ROOT-0, introduced-10)
dobj(introduced-10, legislation-11)
dep(restrict-14, that-12)
aux(restrict-14, would-13)
ccomp(legislation-11, restrict-14)
advmod(raise-22, how-15)
det(agency-20, the-16)
amod(agency-20, new-17)
nn(agency-20, savings-and-loan-18)
nn(agency-20, bailout-19)
nsubj(raise-22, agency-20)
aux(raise-22, can-21)
ccomp(restrict-14, raise-22)
dep(raise-22, capital-23)
punct(restrict-14, ,-24)
xcomp(restrict-14, creating-25)
det(obstacle-28, another-26)
amod(obstacle-28, potential-27)
dobj(creating-25, obstacle-28)
prep(obstacle-28, to-29)
det(government-31, the-30)
poss(sale-33, government-31)
possessive(government-31, 's-32)
pobj(to-29, sale-33)
prep(sale-33, of-34)
amod(thrifts-36, sick-35)
pobj(of-34, thrifts-36)
punct(introduced-10, .-37)

det(bill-2, The-1)
nsubj(prevent-17, bill-2)
punct(bill-2, ,-3)
poss(backers-5, whose-4)
nsubj(include-6, backers-5)
rcmod(bill-2, include-6)
nn(Rostenkowski-9, Chairman-7)
nn(Rostenkowski-9, Dan-8)
dobj(include-6, Rostenkowski-9)
punct(D.-11, -LRB--10)
dep(Rostenkowski-9, D.-11)
punct(D.-11, ,-12)
dep(D.-11, Ill.-13)
punct(D.-11, -RRB--14)
punct(bill-2, ,-15)
aux(prevent-17, would-16)
root(ROOT-0, prevent-17)
det(Corp.-21, the-18)
nn(Corp.-21, Resolution-19)
nn(Corp.-21, Trust-20)
dobj(prevent-17, Corp.-21)
prep(prevent-17, from-22)
pcomp(from-22, raising-23)
amod(capital-26, temporary-24)
amod(capital-26, working-25)
dobj(raising-23, capital-26)
prep(prevent-17, by-27)
pcomp(by-27, having-28)
det(bank-31, an-29)
amod(bank-31, RTC-owned-30)
dobj(having-28, bank-31)
cc(bank-31, or-32)
nn(debt-35, thrift-33)
nn(debt-35, issue-34)
conj(bank-31, debt-35)
dep(counted-40, that-36)
aux(counted-40, would-37)
neg(counted-40, n't-38)
auxpass(counted-40, be-39)
dep(bank-31, counted-40)
prep(counted-40, on-41)
det(budget-44, the-42)
amod(budget-44, federal-43)
pobj(on-41, budget-44)
punct(prevent-17, .-45)

det(bill-2, The-1)
nsubj(intends-3, bill-2)
root(ROOT-0, intends-3)
aux(restrict-5, to-4)
xcomp(intends-3, restrict-5)
det(RTC-7, the-6)
dobj(restrict-5, RTC-7)
prep(restrict-5, to-8)
nn(borrowings-10, Treasury-9)
pobj(to-8, borrowings-10)
advmod(borrowings-10, only-11)
punct(intends-3, ,-12)
mark(receives-16, unless-13)
det(agency-15, the-14)
nsubj(receives-16, agency-15)
advcl(intends-3, receives-16)
amod(authorization-19, specific-17)
amod(authorization-19, congressional-18)
dobj(receives-16, authorization-19)
punct(intends-3, .-20)

punct(said-22, ``-1)
amod(borrowing-7, Such-2)
nn(borrowing-7, agency-3)
punct(borrowing-7, `-4)
nn(borrowing-7, self-help-5)
punct(borrowing-7, '-6)
nsubj(unauthorized-9, borrowing-7)
cop(unauthorized-9, is-8)
ccomp(said-22, unauthorized-9)
cc(unauthorized-9, and-10)
conj(unauthorized-9, expensive-11)
punct(unauthorized-9, ,-12)
advmod(expensive-15, far-13)
advmod(expensive-15, more-14)
dep(unauthorized-9, expensive-15)
prep(expensive-15, than-16)
amod(borrowing-19, direct-17)
nn(borrowing-19, Treasury-18)
pobj(than-16, borrowing-19)
punct(said-22, ,-20)
punct(said-22, ''-21)
root(ROOT-0, said-22)
nn(Stark-25, Rep.-23)
nn(Stark-25, Fortney-24)
nsubj(said-22, Stark-25)
punct(D.-27, -LRB--26)
dep(Stark-25, D.-27)
punct(D.-27, ,-28)
dep(D.-27, Calif.-29)
punct(D.-27, -RRB--30)
punct(Stark-25, ,-31)
det(bill-33, the-32)
poss(sponsor-36, bill-33)
possessive(bill-33, 's-34)
amod(sponsor-36, chief-35)
appos(Stark-25, sponsor-36)
punct(said-22, .-37)

det(plan-4, The-1)
amod(plan-4, complex-2)
nn(plan-4, financing-3)
nsubj(includes-10, plan-4)
prep(plan-4, in-5)
det(law-9, the-6)
nn(law-9, S&L-7)
nn(law-9, bailout-8)
pobj(in-5, law-9)
root(ROOT-0, includes-10)
xcomp(includes-10, raising-11)
dobj(raising-11, $-12)
number(billion-14, 30-13)
num($-12, billion-14)
prep(raising-11, from-15)
pobj(from-15, debt-16)
dep(debt-16, issued-17)
prep(issued-17, by-18)
det(RTC-22, the-19)
advmod(created-21, newly-20)
amod(RTC-22, created-21)
pobj(by-18, RTC-22)
punct(includes-10, .-23)

det(system-3, This-1)
nn(system-3, financing-2)
nsubjpass(created-5, system-3)
auxpass(created-5, was-4)
root(ROOT-0, created-5)
prep(created-5, in-6)
det(law-9, the-7)
amod(law-9, new-8)
pobj(in-6, law-9)
mark(keep-13, in-10)
dep(keep-13, order-11)
aux(keep-13, to-12)
advcl(created-5, keep-13)
det(spending-16, the-14)
nn(spending-16, bailout-15)
dobj(keep-13, spending-16)
prep(keep-13, from-17)
pcomp(from-17, swelling-18)
det(deficit-21, the-19)
nn(deficit-21, budget-20)
dobj(swelling-18, deficit-21)
punct(created-5, .-22)

quantmod($-2, Another-1)
nsubjpass(raised-7, $-2)
number(billion-4, 20-3)
num($-2, billion-4)
aux(raised-7, would-5)
auxpass(raised-7, be-6)
root(ROOT-0, raised-7)
prep(raised-7, through-8)
nn(bonds-10, Treasury-9)
pobj(through-8, bonds-10)
punct(bonds-10, ,-11)
dep(pay-13, which-12)
dep(bonds-10, pay-13)
amod(rates-16, lower-14)
nn(rates-16, interest-15)
dobj(pay-13, rates-16)
punct(raised-7, .-17)

cc(requires-5, But-1)
det(RTC-3, the-2)
nsubj(requires-5, RTC-3)
advmod(requires-5, also-4)
root(ROOT-0, requires-5)
punct(capital-9, ``-6)
nn(capital-9, working-7)
punct(capital-9, ''-8)
dobj(requires-5, capital-9)
aux(maintain-11, to-10)
vmod(capital-9, maintain-11)
det(assets-14, the-12)
amod(assets-14, bad-13)
dobj(maintain-11, assets-14)
prep(assets-14, of-15)
pobj(of-15, thrifts-16)
dep(sold-19, that-17)
auxpass(sold-19, are-18)
ccomp(thrifts-16, sold-19)
punct(maintain-11, ,-20)
mark(sold-26, until-21)
det(assets-23, the-22)
nsubjpass(sold-26, assets-23)
aux(sold-26, can-24)
auxpass(sold-26, be-25)
advcl(maintain-11, sold-26)
advmod(sold-26, separately-27)
punct(requires-5, .-28)

det(debt-2, That-1)
nsubjpass(paid-5, debt-2)
aux(paid-5, would-3)
auxpass(paid-5, be-4)
root(ROOT-0, paid-5)
dep(paid-5, off-6)
mark(sold-11, as-7)
det(assets-9, the-8)
nsubjpass(sold-11, assets-9)
auxpass(sold-11, are-10)
advcl(paid-5, sold-11)
punct(paid-5, ,-12)
xcomp(paid-5, leaving-13)
det(spending-16, the-14)
amod(spending-16, total-15)
dobj(leaving-13, spending-16)
prep(spending-16, for-17)
det(bailout-19, the-18)
pobj(for-17, bailout-19)
prep(leaving-13, at-20)
pobj(at-20, $-21)
number(billion-23, 50-22)
num($-21, billion-23)
punct($-21, ,-24)
cc($-21, or-25)
conj($-21, $-26)
number(billion-28, 166-27)
num($-26, billion-28)
prep($-26, including-29)
pobj(including-29, interest-30)
prep(interest-30, over-31)
num(years-33, 10-32)
pobj(over-31, years-33)
punct(paid-5, .-34)

punct(said-14, ``-1)
dep(problem-5, It-2)
cop(problem-5, 's-3)
det(problem-5, a-4)
ccomp(said-14, problem-5)
dep(has-8, that-6)
advmod(has-8, clearly-7)
dep(problem-5, has-8)
aux(resolved-11, to-9)
auxpass(resolved-11, be-10)
xcomp(has-8, resolved-11)
punct(said-14, ,-12)
punct(said-14, ''-13)
root(ROOT-0, said-14)
nn(Cooke-16, David-15)
nsubj(said-14, Cooke-16)
punct(Cooke-16, ,-17)
amod(director-19, executive-18)
appos(Cooke-16, director-19)
prep(director-19, of-20)
det(RTC-22, the-21)
pobj(of-20, RTC-22)
punct(said-14, .-23)

det(agency-2, The-1)
nsubj(spent-5, agency-2)
aux(spent-5, has-3)
advmod(spent-5, already-4)
root(ROOT-0, spent-5)
quantmod($-7, roughly-6)
dobj(spent-5, $-7)
number(billion-9, 19-8)
num($-7, billion-9)
xcomp(spent-5, selling-10)
num(S&Ls-13, 34-11)
amod(S&Ls-13, insolvent-12)
dobj(selling-10, S&Ls-13)
punct(spent-5, ,-14)
cc(spent-5, and-15)
dep(likely-18, it-16)
cop(likely-18, is-17)
conj(spent-5, likely-18)
aux(sell-20, to-19)
xcomp(likely-18, sell-20)
cc(sell-20, or-21)
conj(sell-20, merge-22)
dep(sell-20, 600-23)
prep(sell-20, by-24)
det(time-26, the-25)
pobj(by-24, time-26)
det(bailout-28, the-27)
nsubj(concludes-29, bailout-28)
rcmod(time-26, concludes-29)
punct(spent-5, .-30)

dep(capital-4, Absent-1)
amod(capital-4, other-2)
nn(capital-4, working-3)
dep(forced-13, capital-4)
punct(said-7, ,-5)
dep(said-7, he-6)
parataxis(forced-13, said-7)
punct(said-7, ,-8)
det(RTC-10, the-9)
nsubjpass(forced-13, RTC-10)
aux(forced-13, would-11)
auxpass(forced-13, be-12)
root(ROOT-0, forced-13)
aux(delay-15, to-14)
xcomp(forced-13, delay-15)
amod(resolutions-18, other-16)
nn(resolutions-18, thrift-17)
dobj(delay-15, resolutions-18)
mark(raised-23, until-19)
dep(raised-23, cash-20)
aux(raised-23, could-21)
auxpass(raised-23, be-22)
advcl(delay-15, raised-23)
prep(raised-23, by-24)
pcomp(by-24, selling-25)
det(assets-28, the-26)
amod(assets-28, bad-27)
dobj(selling-25, assets-28)
punct(forced-13, .-29)

punct(said-22, ``-1)
dep(have-4, We-2)
aux(have-4, would-3)
ccomp(said-22, have-4)
aux(wait-6, to-5)
xcomp(have-4, wait-6)
mark(collected-10, until-7)
dep(collected-10, we-8)
aux(collected-10, have-9)
advcl(wait-6, collected-10)
prep(collected-10, on-11)
det(assets-13, those-12)
pobj(on-11, assets-13)
mark(move-17, before-14)
dep(move-17, we-15)
aux(move-17, can-16)
advcl(wait-6, move-17)
advmod(move-17, forward-18)
punct(said-22, ,-19)
punct(said-22, ''-20)
