nsubj(continue-15, Efforts-1)
prep(Efforts-1, by-2)
det(Exchange-7, the-3)
nn(Exchange-7, Hong-4)
nn(Exchange-7, Kong-5)
nn(Exchange-7, Futures-6)
pobj(by-2, Exchange-7)
aux(introduce-9, to-8)
vmod(Efforts-1, introduce-9)
det(contract-14, a-10)
amod(contract-14, new-11)
nn(contract-14, interest-rate-12)
nn(contract-14, futures-13)
dobj(introduce-9, contract-14)
root(ROOT-0, continue-15)
aux(hit-17, to-16)
xcomp(continue-15, hit-17)
dep(hit-17, snags-18)
punct(continue-15, ,-19)
prep(continue-15, despite-20)
det(support-22, the-21)
pobj(despite-20, support-22)
det(instrument-25, the-23)
amod(instrument-25, proposed-24)
nsubj(enjoys-26, instrument-25)
rcmod(support-22, enjoys-26)
prep(enjoys-26, in-27)
det(colony-29, the-28)
poss(community-32, colony-29)
possessive(colony-29, 's-30)
amod(community-32, financial-31)
pobj(in-27, community-32)
punct(continue-15, .-33)

nn(institutions-4, Hong-1)
nn(institutions-4, Kong-2)
amod(institutions-4, financial-3)
nsubj(waiting-7, institutions-4)
aux(waiting-7, have-5)
aux(waiting-7, been-6)
root(ROOT-0, waiting-7)
prep(waiting-7, for-8)
nn(futures-10, interest-rate-9)
pobj(for-8, futures-10)
prep(waiting-7, for-11)
det(time-14, a-12)
amod(time-14, long-13)
pobj(for-11, time-14)
punct(waiting-7, .-15)

det(contract-2, The-1)
nsubjpass(proposed-5, contract-2)
auxpass(proposed-5, was-3)
advmod(proposed-5, first-4)
root(ROOT-0, proposed-5)
mwe(than-7, more-6)
quantmod(two-8, than-7)
num(years-9, two-8)
npadvmod(ago-10, years-9)
advmod(proposed-5, ago-10)
punct(proposed-5, ,-11)
cc(proposed-5, but-12)
advmod(afterward-14, shortly-13)
advmod(hit-21, afterward-14)
punct(hit-21, ,-15)
det(colony-17, the-16)
poss(markets-19, colony-17)
possessive(colony-17, 's-18)
nsubjpass(hit-21, markets-19)
auxpass(hit-21, were-20)
conj(proposed-5, hit-21)
advmod(hit-21, hard-22)
prep(hit-21, by-23)
det(crash-29, the-24)
nn(crash-29, October-25)
num(crash-29, 1987-26)
amod(crash-29, global-27)
nn(crash-29, stock-28)
pobj(by-23, crash-29)
punct(proposed-5, .-30)

det(drive-3, The-1)
amod(drive-3, subsequent-2)
nsubj(embroiled-12, drive-3)
aux(reform-5, to-4)
vmod(drive-3, reform-5)
nn(Kong-7, Hong-6)
poss(markets-9, Kong-7)
possessive(Kong-7, 's-8)
dobj(reform-5, markets-9)
advmod(embroiled-12, also-10)
aux(embroiled-12, has-11)
root(ROOT-0, embroiled-12)
det(contract-16, the-13)
nn(contract-16, interest-rate-14)
nn(contract-16, futures-15)
dobj(embroiled-12, contract-16)
punct(embroiled-12, .-17)

det(Commission-5, The-1)
nn(Commission-5, Securities-2)
cc(Securities-2, and-3)
conj(Securities-2, Futures-4)
nsubjpass(expected-31, Commission-5)
punct(Commission-5, ,-6)
det(watchdog-9, a-7)
nn(watchdog-9, government-8)
appos(Commission-5, watchdog-9)
vmod(watchdog-9, set-10)
dep(set-10, up-11)
prep(set-10, after-12)
det(crash-15, the-13)
num(crash-15, 1987-14)
pobj(after-12, crash-15)
aux(try-17, to-16)
xcomp(set-10, try-17)
aux(restore-19, to-18)
xcomp(try-17, restore-19)
dobj(restore-19, confidence-20)
cc(confidence-20, and-21)
conj(confidence-20, order-22)
prep(restore-19, to-23)
nn(Kong-25, Hong-24)
poss(markets-27, Kong-25)
possessive(Kong-25, 's-26)
pobj(to-23, markets-27)
punct(Commission-5, ,-28)
aux(expected-31, had-29)
