poss(production-3, Japan-1)
possessive(Japan-1, 's-2)
nsubj(fell-12, production-3)
prep(production-3, of-4)
pobj(of-4, cars-5)
punct(cars-5, ,-6)
conj(cars-5, trucks-7)
cc(cars-5, and-8)
conj(cars-5, buses-9)
prep(production-3, in-10)
dep(in-10, September-11)
ccomp(said-35, fell-12)
num(%-14, 4.1-13)
dobj(fell-12, %-14)
prep(fell-12, from-15)
det(year-17, a-16)
npadvmod(ago-18, year-17)
pcomp(from-15, ago-18)
prep(fell-12, to-19)
num(units-21, 1,120,317-20)
pobj(to-19, units-21)
mwe(of-23, because-22)
prep(fell-12, of-23)
det(slip-25, a-24)
pobj(of-23, slip-25)
prep(slip-25, in-26)
dep(in-26, exports-27)
punct(said-35, ,-28)
det(Manufacturers-32, the-29)
nn(Manufacturers-32, Japan-30)
nn(Manufacturers-32, Automobile-31)
poss(Association-34, Manufacturers-32)
possessive(Manufacturers-32, '-33)
nsubj(said-35, Association-34)
root(ROOT-0, said-35)
punct(said-35, .-36)

amod(demand-2, Domestic-1)
nsubj(continues-3, demand-2)
root(ROOT-0, continues-3)
xcomp(continues-3, to-4)
dep(to-4, grow-5)
punct(continues-3, ,-6)
cc(continues-3, but-7)
poss(contribution-9, its-8)
nsubjpass(sapped-14, contribution-9)
prep(contribution-9, to-10)
amod(production-12, higher-11)
pobj(to-10, production-12)
auxpass(sapped-14, was-13)
conj(continues-3, sapped-14)
prep(sapped-14, in-15)
dep(in-15, September-16)
prep(sapped-14, by-17)
det(fall-22, the-18)
amod(fall-22, estimated-19)
number(%-21, 2-20)
amod(fall-22, %-21)
pobj(by-17, fall-22)
prep(fall-22, in-23)
dep(in-23, imports-24)
punct(fall-22, ,-25)
vmod(fall-22, accompanied-26)
prep(accompanied-26, by-27)
det(tendency-30, a-28)
amod(tendency-30, growing-29)
pobj(by-27, tendency-30)
mark(build-35, for-31)
amod(manufacturers-33, Japanese-32)
nsubj(build-35, manufacturers-33)
aux(build-35, to-34)
vmod(tendency-30, build-35)
dep(build-35, vehicles-36)
advmod(build-35, overseas-37)
punct(continues-3, ,-38)
conj(continues-3, according-39)
pcomp(according-39, to-40)
det(association-42, the-41)
pobj(to-40, association-42)
punct(continues-3, .-43)

det(association-2, The-1)
nsubj(said-3, association-2)
root(ROOT-0, said-3)
amod(demand-5, domestic-4)
nsubj(grew-6, demand-5)
ccomp(said-3, grew-6)
num(%-8, 8.8-7)
dobj(grew-6, %-8)
prep(grew-6, in-9)
dep(in-9, September-10)
punct(said-3, .-11)

dep(growing-4, Demand-1)
aux(growing-4, has-2)
aux(growing-4, been-3)
ccomp(said-17, growing-4)
advmod(growing-4, consistently-5)
prep(growing-4, under-6)
det(encouragement-8, the-7)
pobj(under-6, encouragement-8)
prep(encouragement-8, of-9)
nn(policies-12, pro-consumption-10)
nn(policies-12, government-11)
pobj(of-9, policies-12)
punct(said-17, ,-13)
det(spokesman-16, an-14)
nn(spokesman-16, association-15)
nsubj(said-17, spokesman-16)
root(ROOT-0, said-17)
punct(said-17, .-18)

dep(said-3, He-1)
advmod(said-3, also-2)
root(ROOT-0, said-3)
det(introduction-5, the-4)
nsubj(helped-15, introduction-5)
prep(introduction-5, of-6)
det(tax-11, a-7)
number(%-9, 3-8)
amod(tax-11, %-9)
nn(tax-11, consumption-10)
pobj(of-6, tax-11)
prep(introduction-5, in-12)
dep(in-12, April-13)
aux(helped-15, has-14)
ccomp(said-3, helped-15)
dep(helped-15, sales-16)
punct(said-3, .-17)

det(tax-3, The-1)
amod(tax-3, new-2)
nsubj(replaced-15, tax-3)
punct(tax-3, ,-4)
dep(tax-3, though-5)
det(source-7, a-6)
dep(though-5, source-7)
prep(source-7, of-8)
amod(resentment-10, general-9)
pobj(of-8, resentment-10)
prep(resentment-10, among-11)
amod(taxpayers-13, Japanese-12)
pobj(among-11, taxpayers-13)
punct(replaced-15, ,-14)
root(ROOT-0, replaced-15)
det(tax-19, a-16)
amod(tax-19, higher-17)
nn(tax-19, commodities-18)
dobj(replaced-15, tax-19)
dep(applied-21, that-20)
dep(tax-19, applied-21)
prep(applied-21, to-22)
dep(to-22, automobiles-23)
punct(replaced-15, .-24)

amod(sales-4, Japanese-1)
amod(sales-4, domestic-2)
nn(sales-4, motor-vehicle-3)
nsubj(rose-5, sales-4)
ccomp(said-17, rose-5)
num(%-7, 12-6)
dobj(rose-5, %-7)
prep(rose-5, in-8)
dep(in-8, September-9)
punct(said-17, ,-10)
det(Dealers-14, the-11)
nn(Dealers-14, Japan-12)
nn(Dealers-14, Automobile-13)
poss(Association-16, Dealers-14)
possessive(Dealers-14, '-15)
nsubj(said-17, Association-16)
root(ROOT-0, said-17)
advmod(said-17, earlier-18)
det(month-20, this-19)
pobj(earlier-18, month-20)
punct(said-17, .-21)

det(manufacturers-2, The-1)
poss(association-4, manufacturers-2)
possessive(manufacturers-2, '-3)
nsubj(issue-6, association-4)
aux(issue-6, will-5)
root(ROOT-0, issue-6)
dobj(issue-6, statistics-7)
prep(statistics-7, on-8)
nn(exports-10, vehicle-9)
pobj(on-8, exports-10)
advmod(issue-6, later-11)
det(month-13, this-12)
pobj(later-11, month-13)
punct(issue-6, .-14)

nsubj(rose-4, Production-1)
prep(Production-1, of-2)
dep(of-2, cars-3)
root(ROOT-0, rose-4)
prep(rose-4, to-5)
num(units-7, 801,835-6)
pobj(to-5, units-7)
prep(to-5, in-8)
dep(in-8, September-9)
punct(rose-4, ,-10)
det(increase-14, a-11)
number(%-13, 5.5-12)
amod(increase-14, %-13)
dobj(rose-4, increase-14)
prep(increase-14, from-15)
det(year-17, a-16)
npadvmod(earlier-18, year-17)
pcomp(from-15, earlier-18)
punct(rose-4, .-19)

amod(cars-2, Midsized-1)
nsubj(accounted-3, cars-2)
root(ROOT-0, accounted-3)
prep(accounted-3, for-4)
det(growth-7, the-5)
amod(growth-7, greatest-6)
pobj(for-4, growth-7)
prep(growth-7, in-8)
dep(in-8, units-9)
punct(accounted-3, ,-10)
xcomp(accounted-3, rising-11)
num(units-13, 62,872-12)
dobj(rising-11, units-13)
prep(rising-11, to-14)
num(units-16, 134,550-15)
pobj(to-14, units-16)
punct(units-16, ,-17)
