advmod(comes-3, When-1)
dep(comes-3, it-2)
advcl(takes-14, comes-3)
prep(comes-3, to-4)
pcomp(to-4, buying-5)
cc(buying-5, and-6)
conj(buying-5, selling-7)
dep(buying-5, shares-8)
punct(takes-14, ,-9)
nn(Inc.-13, Westridge-10)
nn(Inc.-13, Capital-11)
nn(Inc.-13, Management-12)
nsubj(takes-14, Inc.-13)
root(ROOT-0, takes-14)
det(seat-17, a-15)
amod(seat-17, back-16)
dobj(takes-14, seat-17)
prep(takes-14, to-18)
neg(one-20, no-19)
pobj(to-18, one-20)
punct(takes-14, .-21)

det(dollar-2, Every-1)
poss(worth-4, dollar-2)
possessive(dollar-2, 's-3)
nsubjpass(traded-16, worth-4)
prep(worth-4, of-5)
dep(of-5, stock-6)
prep(worth-4, in-7)
det(manager-12, the-8)
nn(manager-12, Los-9)
nn(manager-12, Angeles-10)
nn(manager-12, money-11)
poss(portfolio-14, manager-12)
possessive(manager-12, 's-13)
pobj(in-7, portfolio-14)
auxpass(traded-16, is-15)
ccomp(estimates-26, traded-16)
num(times-20, seven-17)
cc(seven-17, or-18)
conj(seven-17, eight-19)
dobj(traded-16, times-20)
det(year-22, a-21)
dep(times-20, year-22)
punct(estimates-26, ,-23)
det(firm-25, the-24)
nsubj(estimates-26, firm-25)
root(ROOT-0, estimates-26)
punct(estimates-26, .-27)

dep(makes-2, That-1)
root(ROOT-0, makes-2)
dep(trader-7, it-3)
det(trader-7, the-4)
advmod(active-6, most-5)
amod(trader-7, active-6)
dep(makes-2, trader-7)
prep(trader-7, among-8)
det(advisers-14, all-9)
det(nation-11, the-10)
poss(advisers-14, nation-11)
possessive(nation-11, 's-12)
nn(advisers-14, investment-13)
pobj(among-8, advisers-14)
punct(makes-2, ,-15)
prep(makes-2, according-16)
pcomp(according-16, to-17)
nn(filings-22, Securities-18)
cc(Securities-18, and-19)
conj(Securities-18, Exchange-20)
nn(filings-22, Commission-21)
pobj(to-17, filings-22)
punct(makes-2, .-23)

cc(wait-2, But-1)
root(ROOT-0, wait-2)
det(second-4, a-3)
dobj(wait-2, second-4)
punct(wait-2, .-5)

nn(Capital-2, Westridge-1)
nsubj(fund-6, Capital-2)
cop(fund-6, is-3)
det(fund-6, an-4)
nn(fund-6, index-5)
root(ROOT-0, fund-6)
punct(fund-6, ---7)
det(type-9, the-8)
dep(fund-6, type-9)
prep(type-9, of-10)
amod(investor-13, stolid-11)
amod(investor-13, long-term-12)
