aux(suggesting-8, Is-1)
det(Secretary-4, an-2)
amod(Secretary-4, American-3)
nsubj(suggesting-8, Secretary-4)
prep(Secretary-4, of-5)
dep(of-5, State-6)
advmod(suggesting-8, seriously-7)
root(ROOT-0, suggesting-8)
mark(help-14, that-9)
det(Rouge-12, the-10)
nn(Rouge-12, Khmer-11)
nsubj(help-14, Rouge-12)
aux(help-14, should-13)
ccomp(suggesting-8, help-14)
ccomp(help-14, govern-15)
dep(govern-15, Cambodia-16)
punct(suggesting-8, ?-17)

advmod(so-2, Apparently-1)
root(ROOT-0, so-2)
punct(so-2, .-3)

dep(are-2, There-1)
root(ROOT-0, are-2)
neg(choices-5, no-3)
amod(choices-5, easy-4)
dep(are-2, choices-5)
prep(are-2, in-6)
dep(in-6, Cambodia-7)
punct(are-2, ,-8)
cc(are-2, but-9)
dep(imagine-13, we-10)
aux(imagine-13, ca-11)
neg(imagine-13, n't-12)
conj(are-2, imagine-13)
mark(benefits-16, that-14)
nsubj(benefits-16, it-15)
ccomp(imagine-13, benefits-16)
det(U.S.-18, the-17)
dobj(benefits-16, U.S.-18)
aux(become-20, to-19)
vmod(benefits-16, become-20)
det(catalyst-22, the-21)
xcomp(become-20, catalyst-22)
prep(catalyst-22, for-23)
det(process-26, an-24)
amod(process-26, all-too-familiar-25)
pobj(for-23, process-26)
dep(end-29, that-27)
aux(end-29, could-28)
dep(process-26, end-29)
prep(end-29, in-30)
det(round-32, another-31)
pobj(in-30, round-32)
prep(round-32, of-33)
dep(of-33, horror-34)
prep(round-32, in-35)
dep(in-35, Cambodia-36)
punct(are-2, .-37)

advmod(appears-4, Now-1)
mark(appears-4, that-2)
dep(appears-4, Vietnam-3)
advcl(talking-17, appears-4)
aux(pulled-7, to-5)
aux(pulled-7, have-6)
xcomp(appears-4, pulled-7)
dep(pulled-7, out-8)
poss(army-11, its-9)
nn(army-11, occupation-10)
dobj(pulled-7, army-11)
punct(talking-17, ,-12)
det(Department-15, the-13)
nn(Department-15, State-14)
nsubj(talking-17, Department-15)
aux(talking-17, is-16)
root(ROOT-0, talking-17)
advmod(talking-17, again-18)
prep(talking-17, about-19)
pcomp(about-19, accepting-20)
det(government-26, an-21)
punct(government-26, ``-22)
amod(government-26, interim-23)
punct(government-26, ''-24)
nn(government-26, coalition-25)
dobj(accepting-20, government-26)
prep(government-26, in-27)
det(capital-30, the-28)
amod(capital-30, Cambodian-29)
pobj(in-27, capital-30)
prep(capital-30, of-31)
nn(Penh-33, Phnom-32)
pobj(of-31, Penh-33)
punct(talking-17, .-34)

det(coalition-2, The-1)
nsubj(include-4, coalition-2)
aux(include-4, would-3)
root(ROOT-0, include-4)
det(regime-10, the-5)
amod(regime-10, current-6)
amod(regime-10, Vietnamese-backed-7)
nn(regime-10, Hun-8)
nn(regime-10, Sen-9)
dobj(include-4, regime-10)
punct(regime-10, ,-11)
det(groups-16, the-12)
num(groups-16, two-13)
amod(groups-16, non-communist-14)
nn(groups-16, resistance-15)
conj(regime-10, groups-16)
vmod(groups-16, led-17)
prep(led-17, by-18)
nn(Sann-20, Son-19)
pobj(by-18, Sann-20)
cc(Sann-20, and-21)
nn(Sihanouk-23, Prince-22)
conj(Sann-20, Sihanouk-23)
punct(regime-10, ,-24)
cc(regime-10, and-25)
det(Rouge-28, the-26)
nn(Rouge-28, Khmer-27)
conj(regime-10, Rouge-28)
punct(include-4, .-29)

det(aim-2, The-1)
nsubj(be-4, aim-2)
aux(be-4, would-3)
root(ROOT-0, be-4)
aux(end-6, to-5)
xcomp(be-4, end-6)
det(war-9, the-7)
nn(war-9, guerrilla-8)
dobj(end-6, war-9)
prep(war-9, for-10)
pobj(for-10, control-11)
prep(control-11, of-12)
dep(of-12, Cambodia-13)
prep(end-6, by-14)
pcomp(by-14, allowing-15)
det(Rouge-18, the-16)
nn(Rouge-18, Khmer-17)
iobj(allowing-15, Rouge-18)
det(share-21, a-19)
amod(share-21, small-20)
dobj(allowing-15, share-21)
prep(share-21, of-22)
dep(of-22, power-23)
punct(be-4, .-24)

det(Department-3, The-1)
nn(Department-3, State-2)
nsubj(says-4, Department-3)
root(ROOT-0, says-4)
mark(have-11, that-5)
det(participation-9, any-6)
nn(participation-9, Khmer-7)
nn(participation-9, Rouge-8)
nsubj(have-11, participation-9)
aux(have-11, would-10)
ccomp(says-4, have-11)
aux(be-13, to-12)
xcomp(have-11, be-13)
punct(be-13, ``-14)
dep(be-13, minimal-15)
punct(says-4, .-16)
punct(says-4, ''-17)

det(problem-3, The-1)
amod(problem-3, usual-2)
nsubj(is-13, problem-3)
prep(problem-3, with-4)
pcomp(with-4, including-5)
dep(including-5, communists-6)
prep(including-5, in-7)
punct(governments-12, ``-8)
amod(governments-12, interim-9)
punct(governments-12, ''-10)
nn(governments-12, coalition-11)
pobj(in-7, governments-12)
root(ROOT-0, is-13)
mark(require-19, that-14)
poss(ideology-16, their-15)
nsubj(require-19, ideology-16)
cc(ideology-16, and-17)
conj(ideology-16, methods-18)
ccomp(is-13, require-19)
dep(squeeze-21, they-20)
ccomp(require-19, squeeze-21)
dep(squeeze-21, out-22)
dobj(squeeze-21, everyone-23)
advmod(everyone-23, else-24)
punct(is-13, .-25)

root(ROOT-0, Recall-1)
mark(came-6, that-2)
poss(Sandinistas-5, Nicaragua-3)
possessive(Nicaragua-3, 's-4)
nsubj(came-6, Sandinistas-5)
ccomp(Recall-1, came-6)
prep(came-6, into-7)
dep(into-7, Managua-8)
prep(came-6, as-9)
pobj(as-9, partners-10)
prep(partners-10, in-11)
det(government-14, a-12)
nn(government-14, coalition-13)
pobj(in-11, government-14)
prep(partners-10, with-15)
amod(moderates-17, anti-Somoza-16)
pobj(with-15, moderates-17)
punct(Recall-1, .-18)

prep(were-7, Within-1)
num(years-3, two-2)
pobj(Within-1, years-3)
punct(were-7, ,-4)
det(moderates-6, the-5)
nsubj(were-7, moderates-6)
root(ROOT-0, were-7)
dep(were-7, exiled-8)
cc(exiled-8, or-9)
conj(exiled-8, in-10)
dep(in-10, prison-11)
punct(were-7, ,-12)
dep(gone-15, Nicaragua-13)
aux(gone-15, had-14)
ccomp(were-7, gone-15)
dep(gone-15, communist-16)
punct(were-7, ,-17)
cc(were-7, and-18)
det(Sandinistas-20, the-19)
nsubj(building-22, Sandinistas-20)
aux(building-22, were-21)
conj(were-7, building-22)
dobj(building-22, one-23)
prep(one-23, of-24)
det(armies-27, the-25)
amod(armies-27, biggest-26)
pobj(of-24, armies-27)
prep(armies-27, in-28)
nn(America-30, Latin-29)
pobj(in-28, America-30)
cc(building-22, and-31)
conj(building-22, threatening-32)
poss(neighbors-34, their-33)
dobj(threatening-32, neighbors-34)
punct(were-7, .-35)

prep(turned-16, In-1)
dep(In-1, Laos-2)
punct(turned-16, ,-3)
advmod(bowed-8, when-4)
det(powers-7, the-5)
amod(powers-7, Western-6)
nsubj(bowed-8, powers-7)
advcl(turned-16, bowed-8)
prep(bowed-8, to-9)
pobj(to-9, pressure-10)
prep(pressure-10, for-11)
predet(coalition-14, such-12)
det(coalition-14, a-13)
pobj(for-11, coalition-14)
nsubj(turned-16, it-15)
root(ROOT-0, turned-16)
dep(turned-16, out-17)
dep(opening-20, they-18)
aux(opening-20, were-19)
ccomp(turned-16, opening-20)
det(door-22, the-21)
dobj(opening-20, door-22)
prep(opening-20, to-23)
nn(domination-25, communist-24)
pobj(to-23, domination-25)
punct(turned-16, .-26)

advmod(China-5, Even-1)
nn(Tse-tung-3, Mao-2)
poss(China-5, Tse-tung-3)
possessive(Tse-tung-3, 's-4)
nsubj(began-6, China-5)
root(ROOT-0, began-6)
prep(began-6, in-7)
dep(in-7, 1949-8)
