dep(sent-2, Congress-1)
root(ROOT-0, sent-2)
nn(Bush-4, President-3)
iobj(sent-2, Bush-4)
det(Treasury-11, an-5)
amod(Treasury-11, $-6)
number(billion-8, 18.4-7)
num($-6, billion-8)
amod(Treasury-11, fiscal-9)
num(Treasury-11, 1990-10)
dobj(sent-2, Treasury-11)
cc(Treasury-11, and-12)
amod(bill-15, Postal-13)
nn(bill-15, Service-14)
conj(Treasury-11, bill-15)
dep(Treasury-11, providing-16)
dobj(providing-16, $-17)
number(billion-19, 5.5-18)
num($-17, billion-19)
prep(providing-16, for-20)
det(Service-24, the-21)
nn(Service-24, Internal-22)
nn(Service-24, Revenue-23)
pobj(for-20, Service-24)
cc(providing-16, and-25)
conj(providing-16, increasing-26)
det(Service-29, the-27)
nn(Service-29, Customs-28)
poss(program-32, Service-29)
possessive(Service-29, 's-30)
nn(program-32, air-interdiction-31)
iobj(increasing-26, program-32)
advmod(third-35, nearly-33)
det(third-35, a-34)
dobj(increasing-26, third-35)
punct(sent-2, .-36)

amod(approval-2, Final-1)
nsubj(came-3, approval-2)
root(ROOT-0, came-3)
prep(came-3, on-4)
det(vote-8, a-5)
amod(vote-8, simple-6)
nn(vote-8, voice-7)
pobj(on-4, vote-8)
prep(vote-8, in-9)
det(Senate-11, the-10)
pobj(in-9, Senate-11)
punct(came-3, ,-12)
cc(came-3, and-13)
det(passage-16, the-14)
amod(passage-16, swift-15)
nsubj(contrasted-17, passage-16)
conj(came-3, contrasted-17)
prep(contrasted-17, with-18)
pobj(with-18, months-19)
prep(months-19, of-20)
pobj(of-20, negotiations-21)
prep(negotiations-21, over-22)
det(bill-25, the-23)
amod(bill-25, underlying-24)
pobj(over-22, bill-25)
dep(laced-28, which-26)
auxpass(laced-28, is-27)
dep(bill-25, laced-28)
prep(laced-28, with-29)
amod(provisions-31, special-interest-30)
pobj(with-29, provisions-31)
prep(provisions-31, for-32)
preconj(members-34, both-33)
pobj(for-32, members-34)
cc(members-34, and-35)
det(branch-38, the-36)
nn(branch-38, executive-37)
conj(members-34, branch-38)
punct(came-3, .-39)

det($-3, An-1)
amod($-3, estimated-2)
nsubjpass(added-7, $-3)
number(million-5, 33-4)
num($-3, million-5)
auxpass(added-7, was-6)
root(ROOT-0, added-7)
prep(added-7, for-8)
nn(grants-12, university-9)
cc(university-9, and-10)
conj(university-9, science-11)
pobj(for-8, grants-12)
punct(grants-12, ,-13)
prep(grants-12, including-14)
pobj(including-14, $-15)
number(million-17, 1.5-16)
num($-15, million-17)
prep($-15, for-18)
nn(College-20, Smith-19)
pobj(for-18, College-20)
punct(added-7, .-21)

cc(force-7, And-1)
nn(lawmakers-3, Southwest-2)
nsubj(force-7, lawmakers-3)
cop(force-7, were-4)
det(force-7, a-5)
amod(force-7, driving-6)
root(ROOT-0, force-7)
prep(force-7, behind-8)
pobj(behind-8, $-9)
number(million-11, 54.6-10)
num($-9, million-11)
prep($-9, for-12)
amod(facilities-15, U.S.-Mexico-13)
nn(facilities-15, border-14)
pobj(for-12, facilities-15)
punct($-9, ,-16)
cc($-9, or-17)
quantmod(double-20, more-18)
quantmod(double-20, than-19)
num(request-24, double-20)
det(administration-22, the-21)
poss(request-24, administration-22)
possessive(administration-22, 's-23)
conj($-9, request-24)
punct(force-7, .-25)

quantmod($-3, More-1)
quantmod($-3, than-2)
nsubjpass(allocated-7, $-3)
number(million-5, 1.8-4)
num($-3, million-5)
auxpass(allocated-7, is-6)
root(ROOT-0, allocated-7)
prep(allocated-7, for-8)
pobj(for-8, pensions-9)
cc(pensions-9, and-10)
conj(pensions-9, expenses-11)
prep(pensions-9, for-12)
amod(presidents-14, former-13)
pobj(for-12, presidents-14)
punct(allocated-7, ,-15)
cc(allocated-7, and-16)
det(budget-18, the-17)
nsubjpass(doubled-30, budget-18)
prep(budget-18, for-19)
det(residence-22, the-20)
amod(residence-22, official-21)
pobj(for-19, residence-22)
prep(residence-22, of-23)
nn(Quayle-26, Vice-24)
nn(Quayle-26, President-25)
pobj(of-23, Quayle-26)
auxpass(doubled-30, is-27)
advmod(than-29, more-28)
advmod(doubled-30, than-29)
conj(allocated-7, doubled-30)
punct(doubled-30, ,-31)
mark(designated-35, with-32)
nsubj(designated-35, $-33)
num($-33, 200,000-34)
advcl(doubled-30, designated-35)
prep(designated-35, for-36)
pobj(for-36, improvements-37)
prep(improvements-37, to-38)
det(property-40, the-39)
pobj(to-38, property-40)
punct(allocated-7, .-41)

advmod(Office-3, Even-1)
det(Office-3, the-2)
nsubjpass(remembered-9, Office-3)
prep(Office-3, of-4)
pobj(of-4, Management-5)
cc(Management-5, and-6)
conj(Management-5, Budget-7)
auxpass(remembered-9, is-8)
root(ROOT-0, remembered-9)
prep(remembered-9, with-10)
det($-13, an-11)
amod($-13, extra-12)
pobj(with-10, $-13)
number(million-15, 1-14)
num($-13, million-15)
aux(help-17, to-16)
vmod($-13, help-17)
xcomp(help-17, offset-18)
nn(costs-20, pay-19)
dobj(offset-18, costs-20)
mark(asked-27, that-21)
amod(departments-24, other-22)
nn(departments-24, government-23)
nsubjpass(asked-27, departments-24)
aux(asked-27, are-25)
auxpass(asked-27, being-26)
dep(costs-20, asked-27)
aux(absorb-29, to-28)
xcomp(asked-27, absorb-29)
punct(remembered-9, .-30)

prep(provided-10, Within-1)
det(IRS-3, the-2)
pobj(Within-1, IRS-3)
punct(provided-10, ,-4)
quantmod($-6, nearly-5)
nsubjpass(provided-10, $-6)
number(billion-8, 1.95-7)
num($-6, billion-8)
auxpass(provided-10, is-9)
root(ROOT-0, provided-10)
prep(provided-10, for-11)
pcomp(for-11, processing-12)
nn(returns-14, tax-13)
dobj(processing-12, returns-14)
punct(provided-10, ,-15)
det(increase-19, a-16)
number(%-18, 12-17)
amod(increase-19, %-18)
dobj(provided-10, increase-19)
prep(increase-19, over-20)
amod(1989-22, fiscal-21)
pobj(over-20, 1989-22)
cc(increase-19, and-23)
conj(increase-19, double-24)
dep(spending-29, what-25)
det(government-27, the-26)
nsubj(spending-29, government-27)
aux(spending-29, was-28)
ccomp(double-24, spending-29)
num(years-31, five-30)
npadvmod(ago-32, years-31)
advmod(spending-29, ago-32)
punct(provided-10, .-33)

nn(accounts-5, Investigation-1)
cc(Investigation-1, and-2)
conj(Investigation-1, taxpayer-3)
nn(accounts-5, service-4)
nsubj(grow-7, accounts-5)
aux(grow-7, would-6)
root(ROOT-0, grow-7)
prep(grow-7, to-8)
pobj(to-8, $-9)
number(billion-11, 1.6-10)
num($-9, billion-11)
punct(grow-7, ,-12)
cc(grow-7, and-13)
dep(added-16, Congress-14)
advmod(added-16, specifically-15)
conj(grow-7, added-16)
dobj(added-16, $-17)
number(million-19, 7.4-18)
num($-17, million-19)
prep(added-16, for-20)
amod(investigations-24, stepped-21)
advmod(stepped-21, up-22)
amod(investigations-24, criminal-23)
pobj(for-20, investigations-24)
prep(investigations-24, of-25)
nn(laundering-27, money-26)
pobj(of-25, laundering-27)
vmod(laundering-27, related-28)
prep(related-28, to-29)
nn(traffic-31, drug-30)
pobj(to-29, traffic-31)
punct(grow-7, .-32)

det(increase-3, The-1)
amod(increase-3, large-2)
nsubj(intended-11, increase-3)
prep(increase-3, in-4)
nn(funds-8, Customs-5)
nn(funds-8, Service-6)
nn(funds-8, air-interdiction-7)
pobj(in-4, funds-8)
aux(intended-11, is-9)
advmod(intended-11, also-10)
root(ROOT-0, intended-11)
aux(counter-13, to-12)
xcomp(intended-11, counter-13)
dep(counter-13, smuggling-14)
punct(intended-11, ,-15)
cc(intended-11, and-16)
det(level-20, the-17)
amod(level-20, annual-18)
nn(level-20, appropriations-19)
nsubj(quadrupled-24, level-20)
aux(quadrupled-24, has-21)
advmod(than-23, more-22)
advmod(quadrupled-24, than-23)
conj(intended-11, quadrupled-24)
prep(quadrupled-24, in-25)
num(years-27, five-26)
pobj(in-25, years-27)
punct(intended-11, .-28)

det($-2, The-1)
nsubj(anticipates-9, $-2)
number(million-4, 196.7-3)
num($-2, million-4)
vmod($-2, provided-5)
prep(provided-5, for-6)
amod(1990-8, fiscal-7)
pobj(for-6, 1990-8)
root(ROOT-0, anticipates-9)
det(purchase-11, the-10)
dobj(anticipates-9, purchase-11)
prep(purchase-11, of-12)
det(aircraft-17, a-13)
nn(aircraft-17, Lockheed-14)
nn(aircraft-17, P-3-15)
nn(aircraft-17, surveillance-16)
pobj(of-12, aircraft-17)
cc(aircraft-17, and-18)
num(jets-23, five-19)
nn(jets-23, Cessna-20)
nn(jets-23, Citation-21)
nn(jets-23, II-22)
conj(aircraft-17, jets-23)
punct(anticipates-9, .-24)

prep(had-8, Despite-1)
nn(reservations-3, administration-2)
pobj(Despite-1, reservations-3)
punct(had-8, ,-4)
det(plan-6, the-5)
nsubj(had-8, plan-6)
aux(had-8, has-7)
root(ROOT-0, had-8)
det(backing-11, the-9)
amod(backing-11, quiet-10)
dobj(had-8, backing-11)
prep(backing-11, of-12)
nn(officials-14, customs-13)
pobj(of-12, officials-14)
advmod(well-16, as-15)
cc(officials-14, well-16)
mwe(well-16, as-17)
amod(lawmakers-19, influential-18)
conj(officials-14, lawmakers-19)
prep(lawmakers-19, from-20)
poss(state-24, Cessna-21)
possessive(Cessna-21, 's-22)
nn(state-24, home-23)
nn(Kansas-26, state-24)
punct(Kansas-26, ,-25)
pobj(from-20, Kansas-26)
punct(had-8, .-27)

prep(is-8, Among-1)
amod(provisions-3, legislative-2)
pobj(Among-1, provisions-3)
vmod(provisions-3, attached-4)
prep(attached-4, to-5)
det(bill-7, the-6)
pobj(to-5, bill-7)
root(ROOT-0, is-8)
det(ban-10, a-9)
nsubj(is-8, ban-10)
prep(ban-10, on-11)
det(expenditure-15, any-12)
nn(expenditure-15, Treasury-13)
nn(expenditure-15, Department-14)
pobj(on-11, expenditure-15)
prep(expenditure-15, for-16)
pobj(for-16, enforcement-17)
prep(enforcement-17, of-18)
det(provision-22, a-19)
num(provision-22, 1986-20)
nn(provision-22, tax-21)
pobj(of-18, provision-22)
vmod(provision-22, intended-23)
aux(discrimination-26, to-24)
dep(discrimination-26, counter-25)
xcomp(intended-23, discrimination-26)
prep(discrimination-26, in-27)
nn(plans-29, employee-benefit-28)
pobj(in-27, plans-29)
punct(is-8, .-30)

nn(interests-2, Small-business-1)
nsubj(lobbied-4, interests-2)
aux(lobbied-4, have-3)
root(ROOT-0, lobbied-4)
prep(lobbied-4, against-5)
det(rules-11, the-6)
amod(rules-11, so-called-7)
nn(rules-11, Section-8)
num(rules-11, 89-9)
nn(rules-11, tax-10)
pobj(against-5, rules-11)
punct(lobbied-4, .-12)

dep(considered-3, Repeal-1)
auxpass(considered-3, is-2)
root(ROOT-0, considered-3)
dep(considered-3, likely-4)
advmod(considered-3, now-5)
punct(considered-3, ,-6)
cc(considered-3, but-7)
det(bill-11, the-8)
nn(bill-11, Treasury-9)
nn(bill-11, Department-10)
nsubjpass(used-14, bill-11)
aux(used-14, has-12)
auxpass(used-14, been-13)
conj(considered-3, used-14)
prep(used-14, as-15)
det(vehicle-17, a-16)
pobj(as-15, vehicle-17)
aux(raise-19, to-18)
xcomp(used-14, raise-19)
det(profile-21, the-20)
dobj(raise-19, profile-21)
prep(profile-21, of-22)
det(issue-24, the-23)
pobj(of-22, issue-24)
cc(raise-19, and-25)
conj(raise-19, block-26)
det(action-28, any-27)
dobj(block-26, action-28)
prep(block-26, in-29)
det(interim-31, the-30)
pobj(in-29, interim-31)
punct(considered-3, .-32)

advmod(noticed-2, Less-1)
dep(is-3, noticed-2)
root(ROOT-0, is-3)
det(bit-5, a-4)
nsubj(is-3, bit-5)
prep(bit-5, of-6)
amod(legerdemain-8, legislative-7)
pobj(of-6, legerdemain-8)
prep(legerdemain-8, by-9)
nn(Republicans-11, Houston-10)
pobj(by-9, Republicans-11)
prep(legerdemain-8, on-12)
pobj(on-12, behalf-13)
prep(behalf-13, of-14)
nn(Corp.-16, HEI-15)
pobj(of-14, Corp.-16)
prep(Corp.-16, of-17)
dep(of-17, Texas-18)
aux(move-22, to-19)
advmod(move-22, retroactively-20)
punct(move-22, ``-21)
vmod(legerdemain-8, move-22)
punct(move-22, ''-23)
det(hospital-26, a-24)
nn(hospital-26, Missouri-25)
dobj(move-22, hospital-26)
prep(move-22, from-27)
num(county-29, one-28)
pobj(from-27, county-29)
prep(move-22, to-30)
det(next-32, the-31)
pobj(to-30, next-32)
aux(justify-34, to-33)
vmod(move-22, justify-34)
amod(reimbursements-37, higher-35)
nn(reimbursements-37, Medicare-36)
dobj(justify-34, reimbursements-37)
punct(is-3, .-38)

det(provision-2, The-1)
nsubj(seeks-3, provision-2)
root(ROOT-0, seeks-3)
aux(wipe-5, to-4)
xcomp(seeks-3, wipe-5)
dep(wipe-5, out-6)
det($-9, an-7)
amod($-9, estimated-8)
dobj(wipe-5, $-9)
number(million-11, 1.4-10)
num($-9, million-11)
prep($-9, in-12)
pobj(in-12, claims-13)
dep(claims-13, made-14)
prep(made-14, by-15)
det(Administration-20, the-16)
nn(Administration-20, Health-17)
nn(Administration-20, Care-18)
nn(Administration-20, Finance-19)
pobj(by-15, Administration-20)
prep(made-14, against-21)
pobj(against-21, HEI-22)
punct(HEI-22, ,-23)
dep(owned-25, which-24)
dep(HEI-22, owned-25)
det(hospital-27, the-26)
dobj(owned-25, hospital-27)
prep(hospital-27, in-28)
nn(Mo.-31, Sullivan-29)
punct(Mo.-31, ,-30)
pobj(in-28, Mo.-31)
punct(Mo.-31, ,-32)
prep(owned-25, during-33)
pobj(during-33, most-34)
prep(most-34, of-35)
det(period-38, the-36)
amod(period-38, four-year-37)
pobj(of-35, period-38)
punct(1983-1987-40, ---39)
dep(period-38, 1983-1987-40)
punct(1983-1987-40, ---41)
vmod(period-38, covered-42)
prep(covered-42, in-43)
det(amendment-45, the-44)
pobj(in-43, amendment-45)
punct(seeks-3, .-46)

prep(scheduled-10, In-1)
det(development-4, a-2)
amod(development-4, separate-3)
pobj(In-1, development-4)
punct(scheduled-10, ,-5)
det(meeting-8, a-6)
amod(meeting-8, private-7)
nsubjpass(scheduled-10, meeting-8)
auxpass(scheduled-10, is-9)
root(ROOT-0, scheduled-10)
det(morning-12, this-11)
tmod(scheduled-10, morning-12)
prep(scheduled-10, between-13)
nn(Whitten-19, House-14)
