advmod(Monday-7, No-1)
punct(Monday-7, ,-2)
dep(Monday-7, it-3)
cop(Monday-7, was-4)
neg(Monday-7, n't-5)
nn(Monday-7, Black-6)
root(ROOT-0, Monday-7)
punct(Monday-7, .-8)

cc(managed-33, But-1)
mark(fall-10, while-2)
det(Exchange-7, the-3)
nn(Exchange-7, New-4)
nn(Exchange-7, York-5)
nn(Exchange-7, Stock-6)
nsubj(fall-10, Exchange-7)
aux(fall-10, did-8)
neg(fall-10, n't-9)
advcl(managed-33, fall-10)
advmod(fall-10, apart-11)
dep(fall-10, Friday-12)
mark(plunged-19, as-13)
det(Average-18, the-14)
nn(Average-18, Dow-15)
nn(Average-18, Jones-16)
nn(Average-18, Industrial-17)
nsubj(plunged-19, Average-18)
advcl(fall-10, plunged-19)
num(points-21, 190.58-20)
dobj(plunged-19, points-21)
punct(most-23, ---22)
dep(points-21, most-23)
prep(most-23, of-24)
dep(of-24, it-25)
prep(most-23, in-26)
det(hour-29, the-27)
amod(hour-29, final-28)
pobj(in-26, hour-29)
punct(most-23, ---30)
dep(managed-33, it-31)
advmod(managed-33, barely-32)
root(ROOT-0, managed-33)
aux(stay-35, to-34)
xcomp(managed-33, stay-35)
det(side-37, this-36)
dobj(stay-35, side-37)
prep(side-37, of-38)
dep(of-38, chaos-39)
punct(managed-33, .-40)

det(breakers-4, Some-1)
punct(breakers-4, ``-2)
nn(breakers-4, circuit-3)
nsubj(failed-12, breakers-4)
punct(breakers-4, ''-5)
vmod(breakers-4, installed-6)
prep(installed-6, after-7)
det(crash-11, the-8)
nn(crash-11, October-9)
num(crash-11, 1987-10)
pobj(after-7, crash-11)
root(ROOT-0, failed-12)
poss(test-15, their-13)
amod(test-15, first-14)
dobj(failed-12, test-15)
punct(say-18, ,-16)
dep(say-18, traders-17)
parataxis(failed-12, say-18)
punct(say-18, ,-19)
dep(failed-12, unable-20)
aux(cool-22, to-21)
xcomp(unable-20, cool-22)
det(panic-25, the-23)
nn(panic-25, selling-24)
dobj(cool-22, panic-25)
prep(panic-25, in-26)
preconj(stocks-28, both-27)
pobj(in-26, stocks-28)
cc(stocks-28, and-29)
conj(stocks-28, futures-30)
punct(failed-12, .-31)

det(firms-5, The-1)
num(firms-5, 49-2)
nn(firms-5, stock-3)
nn(firms-5, specialist-4)
nsubj(handle-31, firms-5)
prep(firms-5, on-6)
det(floor-10, the-7)
nn(floor-10, Big-8)
nn(floor-10, Board-9)
pobj(on-6, floor-10)
punct(firms-5, ---11)
det(buyers-13, the-12)
dep(firms-5, buyers-13)
cc(buyers-13, and-14)
conj(buyers-13, sellers-15)
prep(buyers-13, of-16)
amod(resort-18, last-17)
pobj(of-16, resort-18)
dep(criticized-21, who-19)
auxpass(criticized-21, were-20)
dep(buyers-13, criticized-21)
prep(criticized-21, after-22)
det(crash-25, the-23)
num(crash-25, 1987-24)
pobj(after-22, crash-25)
punct(firms-5, ---26)
advmod(again-28, once-27)
advmod(handle-31, again-28)
aux(handle-31, could-29)
neg(handle-31, n't-30)
root(ROOT-0, handle-31)
det(pressure-34, the-32)
nn(pressure-34, selling-33)
dobj(handle-31, pressure-34)
punct(handle-31, .-35)

amod(banks-3, Big-1)
nn(banks-3, investment-2)
nsubj(refused-4, banks-3)
ccomp(say-25, refused-4)
aux(step-6, to-5)
xcomp(refused-4, step-6)
advmod(step-6, up-7)
prep(up-7, to-8)
det(plate-10, the-9)
pobj(to-8, plate-10)
aux(support-12, to-11)
xcomp(step-6, support-12)
det(traders-16, the-13)
amod(traders-16, beleaguered-14)
nn(traders-16, floor-15)
dobj(support-12, traders-16)
prep(support-12, by-17)
pcomp(by-17, buying-18)
amod(blocks-20, big-19)
dobj(buying-18, blocks-20)
prep(blocks-20, of-21)
dep(of-21, stock-22)
punct(say-25, ,-23)
dep(say-25, traders-24)
root(ROOT-0, say-25)
punct(say-25, .-26)

amod(selling-2, Heavy-1)
nsubj(beat-14, selling-2)
prep(selling-2, of-3)
poss(futures-10, Standard-4)
cc(Standard-4, &-5)
conj(Standard-4, Poor-6)
possessive(Standard-4, 's-7)
amod(futures-10, 500-stock-8)
nn(futures-10, index-9)
pobj(of-3, futures-10)
prep(selling-2, in-11)
dep(in-11, Chicago-12)
advmod(beat-14, relentlessly-13)
root(ROOT-0, beat-14)
dep(beat-14, stocks-15)
advmod(beat-14, downward-16)
punct(beat-14, .-17)

num(stocks-4, Seven-1)
nn(stocks-4, Big-2)
nn(stocks-4, Board-3)
nsubj(stopped-25, stocks-4)
punct(stocks-4, ---5)
nn(BankAmerica-10, UAL-6)
punct(BankAmerica-10, ,-7)
conj(BankAmerica-10, AMR-8)
punct(BankAmerica-10, ,-9)
dep(stocks-4, BankAmerica-10)
punct(BankAmerica-10, ,-11)
nn(Disney-13, Walt-12)
conj(BankAmerica-10, Disney-13)
punct(BankAmerica-10, ,-14)
nn(Cities/ABC-16, Capital-15)
conj(BankAmerica-10, Cities/ABC-16)
punct(BankAmerica-10, ,-17)
nn(Morris-19, Philip-18)
