nn(Cos.-4, Marsh-1)
cc(Marsh-1, &-2)
conj(Marsh-1, McLennan-3)
nsubj(said-5, Cos.-4)
root(ROOT-0, said-5)
dep(agreed-7, it-6)
ccomp(said-5, agreed-7)
aux(acquire-9, to-8)
xcomp(agreed-7, acquire-9)
det(rest-11, the-10)
dobj(acquire-9, rest-11)
prep(rest-11, of-12)
pobj(of-12, Gradmann-13)
cc(Gradmann-13, &-14)
conj(Gradmann-13, Holler-15)
punct(Gradmann-13, ,-16)
det(firm-23, a-17)
amod(firm-23, leading-18)
amod(firm-23, West-19)
amod(firm-23, German-20)
nn(firm-23, insurance-21)
nn(firm-23, brokerage-22)
appos(Gradmann-13, firm-23)
prep(held-28, in-24)
dep(in-24, which-25)
dep(held-28, it-26)
aux(held-28, has-27)
rcmod(firm-23, held-28)
det(stake-32, a-29)
number(%-31, 15-30)
amod(stake-32, %-31)
dobj(held-28, stake-32)
prep(held-28, for-33)
num(years-35, 15-34)
pobj(for-33, years-35)
punct(said-5, .-36)

det(transaction-2, The-1)
nsubj(represent-10, transaction-2)
punct(transaction-2, ,-3)
prep(transaction-2, for-4)
pobj(for-4, cash-5)
cc(cash-5, and-6)
conj(cash-5, stock-7)
punct(transaction-2, ,-8)
aux(represent-10, would-9)
root(ROOT-0, represent-10)
det(takeover-14, the-11)
amod(takeover-14, biggest-12)
amod(takeover-14, European-13)
dobj(represent-10, takeover-14)
prep(represent-10, since-15)
dep(since-15, 1980-16)
prep(represent-10, for-17)
nn(Marsh-20, New-18)
amod(Marsh-20, York-based-19)
pobj(for-17, Marsh-20)
cc(Marsh-20, &-21)
conj(Marsh-20, McLennan-22)
punct(Marsh-20, ,-23)
det(world-25, the-24)
poss(broker-29, world-25)
possessive(world-25, 's-26)
amod(broker-29, largest-27)
nn(broker-29, insurance-28)
appos(Marsh-20, broker-29)
punct(represent-10, .-30)

dep(sign-7, It-1)
cop(sign-7, 's-2)
advmod(sign-7, also-3)
det(sign-7, the-4)
advmod(sign-7, first-5)
amod(sign-7, major-6)
root(ROOT-0, sign-7)
prep(sign-7, of-8)
det(consolidation-11, the-9)
amod(consolidation-11, long-awaited-10)
pobj(of-8, consolidation-11)
prep(consolidation-11, in-12)
det(industry-16, the-13)
amod(industry-16, European-14)
nn(industry-16, insurance-15)
pobj(in-12, industry-16)
mark(moves-22, as-17)
det(Commission-21, the-18)
nn(Commission-21, European-19)
nn(Commission-21, Community-20)
nsubj(moves-22, Commission-21)
advcl(sign-7, moves-22)
prep(moves-22, toward-23)
det(market-26, a-24)
amod(market-26, single-25)
pobj(toward-23, market-26)
prep(market-26, by-27)
dep(by-27, 1992-28)
punct(sign-7, .-29)

amod(barriers-2, Protective-1)
nsubj(start-4, barriers-2)
aux(start-4, will-3)
root(ROOT-0, start-4)
xcomp(start-4, coming-5)
advmod(coming-5, down-6)
prep(coming-5, within-7)
det(industry-10, the-8)
nn(industry-10, insurance-9)
pobj(within-7, industry-10)
amod(summer-12, next-11)
dobj(coming-5, summer-12)
punct(summer-12, ,-13)
advmod(able-20, when-14)
amod(companies-17, big-15)
amod(companies-17, industrial-16)
nsubj(able-20, companies-17)
aux(able-20, will-18)
cop(able-20, be-19)
rcmod(summer-12, able-20)
aux(buy-22, to-21)
xcomp(able-20, buy-22)
dep(buy-22, insurance-23)
prep(buy-22, from-24)
pobj(from-24, carriers-25)
prep(carriers-25, in-26)
det(country-30, any-27)
amod(country-30, other-28)
nn(country-30, EC-29)
pobj(in-26, country-30)
prep(buy-22, for-31)
det(time-34, the-32)
amod(time-34, first-33)
pobj(for-31, time-34)
punct(start-4, .-35)

dep('s-2, That-1)
ccomp(said-22, 's-2)
advmod(working-8, why-3)
punct(working-8, ``-4)
dep(working-8, we-5)
aux(working-8, have-6)
aux(working-8, been-7)
ccomp('s-2, working-8)
advmod(working-8, hard-9)
aux(develop-11, to-10)
xcomp(working-8, develop-11)
det(presence-17, a-12)
amod(presence-17, single-13)
punct(presence-17, ,-14)
advmod(unified-16, more-15)
amod(presence-17, unified-16)
dobj(develop-11, presence-17)
prep(presence-17, in-18)
dep(in-18, Europe-19)
punct(said-22, ,-20)
punct(said-22, ''-21)
root(ROOT-0, said-22)
